TX,0.026005414,291223.013254569,4642285.264087425,1.200000000,1697,11,1
TX,0.045337576,292119.394656818,4644182.491405467,1.200000000,1003,12,1
TX,0.152514602,295462.549431268,4647776.058237884,1.200000000,1996,12,1
TX,0.300653013,290199.244448582,4642437.721929724,1.200000000,683,10,1
TX,0.346631946,294162.867694379,4641195.780880488,1.200000000,1269,10,1
TX,0.414952353,289674.856057066,4638738.511269089,1.200000000,1430,12,1
TX,0.427984117,295640.464063975,4645566.546948199,1.200000000,1733,12,1
TX,0.437644331,290211.659979646,4640786.933874298,1.200000000,163,7,1
TX,0.486843660,292543.962874293,4643428.173085158,1.200000000,424,12,1
TX,0.591543135,299488.549165923,4630167.851369389,1.200000000,793,12,1
TX,0.920518881,294404.194490213,4643825.220963150,1.200000000,947,12,1
TX,1.304582732,294277.571315960,4641466.766754876,1.200000000,841,10,1
TX,1.446320163,273685.927592280,4630615.565319981,1.200000000,1498,12,1
TX,1.665113132,291709.111996581,4640032.819655028,1.200000000,1647,11,1
TX,1.710000879,290083.836067484,4644362.852295458,1.200000000,685,12,1
TX,1.783463165,291984.534057947,4643705.198622893,1.200000000,1840,12,1
TX,1.789580628,292693.752696680,4641793.975402872,1.200000000,1527,12,1
TX,2.043102966,291025.963271060,4644012.694463287,1.200000000,1105,12,1
TX,2.143344317,292735.483937861,4641849.884962665,1.200000000,1115,12,1
TX,2.212131875,291826.403319291,4642543.461111085,1.200000000,2158,12,1
TX,2.257368450,292772.017750257,4642002.497897089,1.200000000,40,12,1
TX,2.323445510,290189.392241542,4635357.267381331,1.200000000,1475,12,1
TX,2.427230869,291061.244927762,4644022.901388698,1.200000000,707,12,1
TX,2.454331449,292692.985412705,4642349.595029986,1.200000000,2077,12,1
TX,2.511880691,292805.607865327,4642176.755336671,1.200000000,446,12,1
TX,2.667306399,292768.615191351,4642172.426857904,1.200000000,1546,12,1
TX,2.864941068,300923.716973791,4643344.455354740,1.200000000,5,12,1
TX,2.873111818,290338.419489012,4641852.473446287,1.200000000,1409,8,1
TX,3.100996288,294125.972781318,4647412.835752596,1.200000000,2132,12,1
TX,3.120009030,292778.766941197,4642181.535416057,1.200000000,794,12,1
TX,3.292243598,295605.906360939,4645557.869708817,1.200000000,1791,12,1
TX,3.558295415,295058.857900421,4646554.672323194,1.200000000,2096,12,1
TX,3.714077983,291989.420046118,4643703.717882013,1.200000000,726,12,1
TX,3.937480509,295658.010496521,4645580.597753038,1.200000000,152,12,1
