
[RX,0.897388489,462,9,1]
[RX,11.000940258,173,7,1]
[RX,12.012963310,513,9,1]
[RX,12.888251587,128,10,1]
[RX,16.295720649,200,7,1]
[RX,17.022571030,64,8,1]
[RX,19.430266333,440,7,1]
[RX,22.805415514,736,7,1]
[RX,26.062830472,759,7,1]
[RX,26.186700120,421,7,1]
[RX,35.189916855,226,9,1]
[RX,38.241214079,379,10,1]
[RX,38.524366466,382,8,1]
[RX,38.819278380,96,8,1]
[RX,48.622228012,503,7,1]
[RX,50.237019352,688,7,1]
[RX,54.148679918,547,7,1]
[RX,54.376138186,574,12,1]
[RX,56.417411524,99,7,1]
[RX,56.560194584,139,7,1]
[RX,58.294971220,429,10,1]
[RX,60.914755661,298,7,1]
[RX,63.048683370,770,11,1]
[RX,69.010822550,194,7,1]
[RX,72.013906230,240,8,1]
[RX,72.639464255,67,7,1]
[RX,75.945552604,235,9,1]
[RX,77.853520575,7,9,1]
[RX,80.662662817,475,12,1]
[RX,88.593401002,351,12,1]
[RX,89.269475241,469,9,1]
[RX,96.302001638,623,7,1]
[RX,99.319274703,707,7,1]
[RX,104.724634632,262,12,1]
[RX,106.268333798,348,12,1]
[RX,106.863579833,555,7,1]
[RX,107.005712063,483,7,1]
[RX,112.913107022,215,12,1]
[RX,113.495329583,478,7,1]
[RX,113.610618301,237,11,1]
[RX,114.235705959,333,7,1]
[RX,116.553150940,490,7,1]
[RX,124.472212066,744,7,1]
[RX,130.828321571,141,8,1]
[RX,131.490847595,10,7,1]
[RX,132.219742629,424,9,1]
[RX,133.000341451,741,7,1]
[RX,134.884226124,137,7,1]
[RX,137.568430125,263,12,1]
[RX,137.698061541,444,7,1]
[RX,138.621158183,284,7,1]
[RX,139.561144206,376,7,1]
[RX,142.848510616,126,7,1]
[RX,146.966474828,124,12,1]
[RX,147.710733548,317,11,1]
[RX,149.766384312,238,7,1]
[RX,160.004157981,273,12,1]
[RX,160.550020384,644,8,1]
[RX,161.867071674,517,7,1]
[RX,164.644019108,624,12,1]
[RX,165.094461551,324,7,1]
[RX,165.740621440,25,9,1]
[RX,169.214492201,19,9,1]
[RX,170.216163178,310,7,1]
[RX,174.370202266,230,10,1]
[RX,179.148250447,340,11,1]
[RX,180.302428046,63,7,1]
[RX,182.370768541,236,7,1]
[RX,183.458952289,409,12,1]
[RX,183.614409101,726,7,1]
[RX,184.280516673,396,7,1]
[RX,187.473648231,501,12,1]
[RX,187.766711857,745,8,1]
[RX,189.584337392,545,10,1]
[RX,190.323734973,405,7,1]
[RX,190.489868807,705,7,1]
[RX,190.890751647,604,8,1]
[RX,193.253530392,492,7,1]
[RX,194.302707857,162,7,1]
[RX,194.694115946,172,8,1]
[RX,194.909891676,290,7,1]
[RX,196.900035797,358,11,1]
[RX,199.540257302,192,7,1]
[RX,203.358833993,754,9,1]
[RX,203.829697758,33,8,1]
[RX,204.415582771,402,7,1]
[RX,205.877704900,27,7,1]
[RX,208.835142087,300,7,1]
[RX,209.159298815,212,7,1]
[RX,209.910039195,430,8,1]
[RX,210.058637067,575,12,1]
[RX,215.513087147,415,8,1]
[RX,216.797738182,154,8,1]
[RX,218.488422670,227,10,1]
[RX,219.981108053,22,9,1]
[RX,220.661868102,176,8,1]
[RX,221.481327152,544,12,1]
[RX,221.821553552,261,7,1]
[RX,223.725716369,26,7,1]
[RX,229.787054261,605,7,1]
[RX,235.560801952,637,11,1]
[RX,242.568609392,296,7,1]
[RX,243.247103679,54,7,1]
[RX,246.680879383,493,7,1]
[RX,250.350577703,309,7,1]
[RX,254.421117921,761,10,1]
[RX,255.100223236,585,10,1]
[RX,255.324547438,757,7,1]
[RX,260.548051465,590,7,1]
[RX,260.991435944,695,8,1]
[RX,261.580039792,207,7,1]
[RX,265.842248343,127,11,1]
[RX,269.223633820,518,7,1]
[RX,271.952833444,232,10,1]
[RX,273.189885711,204,7,1]
[RX,276.417799083,431,8,1]
[RX,280.241214079,379,10,2]
[RX,286.187842042,689,9,2]
[RX,286.657923798,82,9,1]
[RX,286.889567956,758,7,1]
[RX,288.527134241,577,12,2]
[RX,289.673590699,115,12,1]
[RX,290.357366840,109,7,1]
[RX,290.854412798,451,7,2]
[RX,291.264301230,307,7,1]
[RX,292.477518765,83,10,1]
[RX,295.524366466,382,8,2]
[RX,295.667028971,450,7,1]
[RX,296.622650830,609,8,1]
[RX,305.837578980,90,7,2]
[RX,307.364009637,196,11,2]
[RX,312.022571030,64,8,2]
[RX,316.010822550,194,7,2]
[RX,319.897388489,462,9,2]
[RX,320.378957871,514,7,2]
[RX,322.130092822,406,7,2]
[RX,322.342503738,664,11,2]
[RX,323.253938754,166,7,2]
[RX,324.294971220,429,10,2]
[RX,324.440311494,311,7,2]
[RX,328.271958931,572,12,2]
[RX,329.780753995,45,9,2]
[RX,330.490706853,138,7,2]
[RX,332.189916855,226,9,2]
[RX,333.977048569,349,12,2]
[RX,336.542354478,355,12,2]
[RX,340.062830472,759,7,2]
[RX,340.527556570,589,7,2]
[RX,341.415999227,40,10,2]
[RX,342.172163598,81,7,2]
[RX,342.478914889,437,8,2]
[RX,347.101267177,712,9,2]
[RX,354.302001638,623,7,2]
[RX,354.622228012,503,7,2]
[RX,357.237019352,688,7,2]
[RX,359.013906230,240,8,2]
[RX,363.189155964,46,7,2]
[RX,364.403494665,51,9,2]
[RX,364.472212066,744,7,2]
[RX,367.241832121,720,12,2]
[RX,368.855266603,640,9,2]
[RX,371.048683370,770,11,2]
[RX,372.582288849,234,9,2]
[RX,374.970409168,356,8,2]
[RX,376.684054794,734,7,2]
[RX,377.090211067,535,9,2]
[RX,391.059397822,341,7,2]
[RX,391.945552604,235,9,2]
[RX,397.342177811,337,7,2]
[RX,407.133460821,13,7,2]
[RX,413.360815043,150,8,2]
[RX,413.879759637,470,9,2]
[RX,417.195087325,377,12,2]
[RX,417.326792581,59,7,2]
[RX,420.112174919,188,12,2]
[RX,422.257472379,220,12,2]
[RX,427.272577891,676,12,2]
[RX,430.368964615,511,7,2]
[RX,434.867071674,517,7,2]
[RX,436.667871212,43,10,2]
[RX,438.610618301,237,11,2]
[RX,445.392487316,274,11,2]
[RX,446.819099210,202,12,2]
[RX,447.710733548,317,11,2]
[RX,448.596022613,375,7,2]
[RX,450.367243984,690,12,2]
[RX,455.048950637,751,7,2]
[RX,455.293296117,642,7,2]
[RX,457.067114387,455,9,2]
[RX,457.863579833,555,7,2]
[RX,458.633573510,87,11,2]
[RX,460.102489477,599,8,2]
[RX,460.968606306,14,7,2]
[RX,464.217636419,181,12,2]
[RX,470.239987048,432,9,2]
[RX,470.438780689,519,7,2]
[RX,471.478366518,66,9,2]
[RX,479.485847611,121,9,2]
[RX,480.179766864,88,12,2]
[RX,481.909896519,179,11,2]
[RX,488.339960100,319,7,2]
[RX,488.489868807,705,7,2]
[RX,491.480838330,367,7,2]
[RX,491.698061541,444,7,2]
[RX,493.560801952,637,11,2]
[RX,493.934339554,692,9,2]
[RX,494.192500631,209,7,2]
[RX,498.214520706,482,9,2]
[RX,498.718159968,125,7,2]
[RX,502.761213821,565,9,2]
[RX,511.499719950,509,7,2]
[RX,514.421428091,474,12,2]
[RX,514.802833549,499,8,2]
[RX,515.370202266,230,10,2]
[RX,515.474556802,593,7,2]
[RX,515.949937407,295,7,2]
[RX,516.529193513,216,9,2]
[RX,516.909891676,290,7,2]
[RX,517.645215321,30,9,2]
[RX,523.603401498,303,9,2]
[RX,527.614409101,726,7,2]
[RX,528.998750018,264,7,2]
[RX,529.877704900,27,7,2]
[RX,530.584337392,545,10,2]
[RX,533.870610711,723,10,2]
[RX,538.018538620,312,7,2]
[RX,539.253530392,492,7,2]
[RX,540.842248343,127,11,2]
[RX,545.667028971,450,7,2]
[RX,548.590763283,560,7,3]
[RX,551.095371973,505,7,2]
[RX,554.159116855,249,12,2]
[RX,555.101764978,97,7,2]
[RX,556.954469284,762,7,2]
[RX,558.192410887,9,7,2]
[RX,558.481327152,544,12,2]
[RX,558.579193597,508,9,2]
[RX,559.006207022,449,8,2]
[RX,559.380824523,289,7,2]
[RX,563.477518765,83,10,2]
[RX,565.430266333,440,7,3]
[RX,566.100223236,585,10,2]
[RX,569.513087147,415,8,2]
[RX,569.787054261,605,7,2]
[RX,573.861110766,6,7,2]
[RX,574.153450422,447,7,2]
[RX,578.369304957,453,7,2]
[RX,584.952833444,232,10,2]
[RX,585.222218576,579,7,3]
[RX,585.580039792,207,7,2]
[RX,586.626368278,448,7,2]
[RX,587.324547438,757,7,2]
[RX,589.241214079,379,10,3]
[RX,589.548051465,590,7,2]
[RX,590.524366466,382,8,3]
[RX,590.706567604,129,7,3]
[RX,594.011524283,724,12,3]
[RX,594.247103679,54,7,2]
[RX,601.232114208,145,8,3]
[RX,610.472212066,744,7,3]
[RX,611.120179222,679,10,3]
[RX,614.390419608,693,9,2]
[RX,614.549016656,287,7,2]
[RX,614.865492850,750,7,3]
[RX,615.160208635,148,7,2]
[RX,623.988624078,49,11,3]
[RX,624.888251587,128,10,3]
[RX,625.951065213,592,7,3]
[RX,626.993262645,277,9,3]
[RX,628.090211067,535,9,3]
[RX,628.223633820,518,7,2]
[RX,628.819278380,96,8,3]
[RX,630.729632927,28,9,2]
[RX,635.554241918,11,7,3]
[RX,636.491784500,435,10,3]
[RX,639.582288849,234,9,3]
[RX,644.189916855,226,9,3]
[RX,646.557255831,436,7,3]
[RX,647.527134241,577,12,3]
[RX,651.892637263,229,12,2]
[RX,654.098368834,728,9,3]
[RX,654.602292925,600,11,3]
[RX,656.000341451,741,7,3]
[RX,657.096946104,733,12,3]
[RX,666.844630540,60,12,3]
[RX,667.012963310,513,9,3]
[RX,667.970409168,356,8,3]
[RX,668.871310299,486,7,3]
[RX,670.003540730,660,10,3]
[RX,670.622228012,503,7,3]
[RX,670.766384312,238,7,3]
[RX,673.646164232,682,12,3]
[RX,674.368964615,511,7,3]
[RX,675.717778004,12,11,3]
[RX,676.130092822,406,7,3]
[RX,676.998433274,487,7,3]
[RX,678.550426188,89,10,3]
[RX,679.440311494,311,7,3]
[RX,679.853232921,62,7,3]
