label,timestamp,x,y,z,dev_addr,spreading_factor,framecounter,NODE_ID,receptions
TX,0.003929715,291254.159788295,4638754.067261228,1.2,1492,12,1,313-22,[]
TX,0.054457995,290736.109694645,4635810.420405296,1.2,1896,12,1,369-11,[]
TX,0.122044986,292734.891540197,4641857.261301002,1.2,1762,12,1,353-13,"[['RX_GW', 2.753784422, 1762, 12, 1, 868.1, -140.525772697, '00:00:00:00:00:04']]"
TX,0.262985996,290682.221501154,4641318.567160947,1.2,1986,7,1,42-2,[]
TX,0.448483459,273670.33178767,4630620.617725002,1.2,1356,12,1,290-9,[]
TX,0.481540011,292891.170173484,4634150.70808486,1.2,1327,12,1,288-25,[]
TX,0.70197709,290361.995153445,4641810.400248169,1.2,1135,7,1,249-27,[]
TX,1.510086821,286375.374364976,4640685.28143625,1.2,191,12,1,127-26,[]
TX,1.556030969,291721.508271379,4641707.355986194,1.2,2314,10,1,94-15,[]
TX,1.717474744,291680.892807155,4642104.012396705,1.2,460,12,1,174-25,[]
TX,1.771896627,291238.167439255,4641293.12424172,1.2,40,7,1,105-28,[]
TX,2.161475701,291059.953038745,4642065.941328447,1.2,2273,10,1,89-8,[]
TX,2.287354151,291702.562662226,4642125.156438159,1.2,374,12,1,157-1,[]
TX,2.414737362,295122.781042391,4642695.714607826,1.2,2185,9,1,8-23,[]
TX,2.548986889,290390.469999591,4641809.300692071,1.2,935,7,1,225-2,[]
TX,2.569520108,294113.162596876,4649784.598635477,1.2,2028,12,1,49-3,[]
TX,2.71217906,288782.560291622,4641389.229725393,1.2,1303,9,1,281-2,"[['RX_GW', 3.083944784, 1303, 9, 1, 868.1, -127.523761837, '00:00:00:00:00:02']]"
TX,2.725950457,284961.736824766,4643532.730812,1.2,313,12,1,147-3,[]
TX,2.902356768,290691.484482945,4642868.156962014,1.2,64,12,1,111-30,[]
TX,2.957554258,286707.556973546,4645115.268913464,1.2,1231,12,1,267-19,[]
TX,2.967439805,289764.186110905,4642399.264324834,1.2,2070,11,1,61-1,[]
TX,3.452432881,290369.035640345,4642210.724921799,1.2,1202,9,1,262-21,"[['RX_GW', 3.824198949, 1202, 9, 1, 868.1, -127.428854114, '00:00:00:00:00:02']]"
TX,3.943308936,289045.268655906,4637217.86618279,1.2,1108,12,1,246-20,[]
TX,4.080436669,286367.32478003,4644327.085080176,1.2,1444,12,1,302-20,[]
TX,4.081865434,290683.399610573,4641291.214780762,1.2,1772,7,1,355-15,[]
TX,4.107003182,290359.891161111,4641789.696339103,1.2,2279,7,1,90-18,[]
TX,4.282659383,288428.659462865,4642858.049370398,1.2,671,12,1,2-13,[]
TX,4.333578469,290332.452851319,4646407.796494242,1.2,699,12,1,200-30,[]
TX,4.522866369,292678.489120634,4643694.558360596,1.2,1618,12,1,331-15,[]
TX,4.560973995,292693.601277703,4641801.706582081,1.2,2153,12,1,76-6,[]
TX,4.617545697,290674.797472867,4641285.4868651,1.2,426,7,1,170-15,[]
TX,4.628943899,291703.861853298,4642124.503623736,1.2,2004,12,1,44-3,[]
TX,4.676888038,290184.766861155,4636766.575291821,1.2,1584,12,1,325-19,[]
TX,4.688811296,273687.651571299,4630623.558403282,1.2,82,12,1,113-3,[]
TX,4.950541125,256260.281076452,4651856.49524203,1.2,1694,12,1,345-23,[]
TX,4.996924344,291018.01832292,4641941.188467891,1.2,2258,9,1,89-12,[]
TX,5.04521745,291685.639659141,4642142.486601894,1.2,548,12,1,187-16,[]
TX,5.288253817,290935.187925438,4638976.53476962,1.2,417,12,1,17-14,[]
TX,5.356624306,290371.763223708,4640704.178312027,1.2,1998,7,1,44-17,[]
TX,5.424768484,292748.336932253,4641875.199383874,1.2,1367,12,1,295-21,[]
TX,5.451433764,290136.211019872,4640863.436944103,1.2,1533,7,1,316-25,[]
TX,5.558184989,293593.321186112,4638555.514473232,1.2,1478,12,1,310-12,[]
TX,5.686924951,290847.251773149,4642262.914117485,1.2,1669,9,1,343-13,[]
TX,5.801105267,290382.309555505,4641807.891140164,1.2,302,7,1,144-8,[]
TX,6.070701233,293262.097961053,4645886.324740673,1.2,794,12,1,210-18,[]
TX,6.082586493,292002.257169985,4641102.886465196,1.2,897,12,1,222-30,[]
TX,6.475866806,290228.241170524,4643368.532862202,1.2,68,12,1,112-11,[]
TX,6.579631978,290486.207522842,4640616.818058043,1.2,1913,7,1,37-18,[]
TX,6.6198165,290279.51052806,4641292.435269482,1.2,2173,7,1,79-24,[]
TX,6.850578199,291060.864385499,4644028.780332345,1.2,1158,12,1,252-2,[]
TX,6.8942322,291029.425881704,4641766.211980506,1.2,757,8,1,208-23,[]
TX,6.96139835,291526.94882508,4642061.780434007,1.2,1375,12,1,297-10,[]
TX,6.983399449,291236.177840561,4642272.327304271,1.2,2059,10,1,59-12,[]
TX,7.05166712,291485.942488631,4641979.888710841,1.2,2323,10,1,94-26,[]
TX,7.213263795,290912.348846214,4641199.800752113,1.2,1227,7,1,266-8,[]
TX,7.31898244,291124.958665957,4644889.716138966,1.2,1947,12,1,39-7,[]
TX,7.404877464,292521.250260033,4642509.875084172,1.2,63,12,1,111-22,[]
TX,7.461046695,291235.009587058,4638757.221961258,1.2,1495,12,1,313-5,[]
TX,7.504295921,290809.897071909,4642557.454323789,1.2,2317,11,1,94-19,[]
TX,7.534391076,292342.456512211,4641990.865315132,1.2,746,12,1,206-22,[]
TX,7.586742001,292189.948385154,4643465.005606605,1.2,1956,12,1,4-22,[]
TX,7.591981389,273685.695719619,4630629.11015754,1.2,518,12,1,184-9,[]
TX,7.677837507,291930.063195459,4642582.676448801,1.2,2096,12,1,66-1,[]
TX,7.697984809,290378.058422581,4646401.889219162,1.2,480,12,1,178-27,[]
TX,7.721091133,290957.974276078,4644323.75884915,1.2,1654,12,1,341-29,[]
TX,7.76069877,290732.588018657,4640562.974295457,1.2,1481,7,1,310-16,[]
TX,8.061588224,293355.499617478,4640945.188408307,1.2,895,12,1,222-22,[]
TX,8.113510973,273693.498905141,4630634.810034403,1.2,1514,12,1,315-23,[]
TX,8.214360291,290367.280495199,4641812.610760142,1.2,2117,7,1,7-1,[]
TX,8.37993383,291536.318721054,4642056.546656022,1.2,1511,12,1,315-13,[]
TX,8.394114194,292791.39590261,4639225.185063529,1.2,2007,12,1,44-6,[]
TX,8.433589538,295183.922451275,4637762.445197619,1.2,197,12,1,128-24,[]
TX,8.517890393,290744.655857657,4642879.246294224,1.2,2131,12,1,70-27,[]
TX,8.528054429,291697.044124759,4642119.941066089,1.2,81,12,1,113-22,[]
TX,9.046112508,271624.765254422,4630630.229316759,1.2,1226,12,1,266-7,[]
TX,9.04850177,294968.639542467,4642707.716353734,1.2,805,8,1,212-13,"[['RX_GW', 9.255915412, 805, 8, 1, 868.1, -124.325809606, '00:00:00:00:00:04']]"
TX,9.084164325,294051.473896677,4651537.107471218,1.2,2177,12,1,79-28,[]
TX,9.191732297,290267.694220698,4641286.625892323,1.2,104,7,1,117-18,[]
TX,9.292836355,290417.441768844,4641821.410792753,1.2,666,7,1,199-5,[]
TX,9.373053547,291002.303003635,4640671.912329197,1.2,940,8,1,225-30,[]
TX,9.685355451,288615.168322172,4637557.173924396,1.2,295,12,1,144-11,[]
TX,9.905940541,282748.300501611,4640991.181353305,1.2,1491,12,1,313-19,[]
TX,9.915507645,270071.1350432,4630269.628779225,1.2,522,12,1,185-13,[]
TX,10.010604602,273660.286389192,4630631.712846946,1.2,1308,12,1,284-8,[]
TX,10.098019056,290925.183115226,4641180.178142211,1.2,986,7,1,230-8,"[['RX_GW', 10.213015915, 986, 7, 1, 868.1, -121.608012505, '00:00:00:00:00:02']]"
TX,10.194161515,289948.541552921,4634400.830217864,1.2,112,12,1,117-6,[]
TX,10.203125472,286630.679833779,4646066.797939313,1.2,1269,12,1,279-18,[]
TX,10.207630466,290325.798013107,4641883.314358192,1.2,2027,7,1,49-23,[]
TX,10.261217722,285164.093959295,4643122.341710244,1.2,1198,12,1,261-4,[]
TX,10.467322305,268000.116265027,4644084.07934344,1.2,465,12,1,175-11,[]
TX,10.872392044,313637.498510139,4649707.962278249,1.2,957,12,1,228-26,[]
TX,11.080392544,299734.639664154,4630066.136401551,1.2,1182,12,1,259-1,[]
TX,11.178833112,294177.252750199,4643992.835765231,1.2,1992,12,1,42-4,[]
TX,11.312164052,289673.256553194,4643514.707083731,1.2,1287,12,1,280-13,[]
TX,11.317573104,290467.434892344,4641428.324059673,1.2,2050,7,1,58-24,[]
TX,11.352466969,291837.629918824,4642552.427110798,1.2,2128,12,1,70-24,[]
TX,11.429880833,282194.461587954,4627224.020302779,1.2,434,12,1,170-28,[]
TX,11.457615225,290898.686726302,4642185.702699641,1.2,57,10,1,110-7,[]
TX,11.559399544,289680.479681183,4638761.473829619,1.2,1957,12,1,4-23,[]
TX,11.964792965,286706.763050934,4641716.330141883,1.2,1292,12,1,280-2,[]
TX,12.122604372,291825.090216979,4642546.585741625,1.2,225,12,1,132-7,[]
TX,12.198847075,294230.543614788,4638404.511634216,1.2,1313,12,1,285-26,[]
TX,12.551416971,291824.467947664,4642552.671491238,1.2,454,12,1,174-12,[]
TX,12.568064479,292057.68769446,4642288.835533183,1.2,745,12,1,206-21,[]
TX,12.672143344,311162.669578115,4650719.145596641,1.2,955,12,1,228-24,[]
TX,12.744189158,282818.20391262,4654527.322280766,1.2,698,12,1,200-3,[]
TX,12.755333109,295394.43904352,4604693.758251092,1.2,1581,12,1,325-10,[]
TX,12.886196766,290660.376722538,4633156.058737634,1.2,1276,12,1,279-4,[]
TX,12.906711195,291733.423054354,4642162.943311349,1.2,1246,12,1,273-1,[]
TX,12.920473862,295479.759537375,4639452.078142715,1.2,585,12,1,192-10,[]
TX,12.945552098,292168.357265713,4636677.99145745,1.2,128,12,1,119-21,[]
TX,12.997167372,292115.336575146,4633719.798546684,1.2,1132,12,1,249-24,[]
TX,13.1088225,291658.863774778,4639988.666258192,1.2,415,12,1,169-8,[]
TX,13.363005611,305101.41111464,4637329.630399257,1.2,526,12,1,185-2,[]
TX,13.371212962,273714.821614735,4630631.779751221,1.2,925,12,1,224-28,[]
TX,13.561294139,256244.850303432,4651849.757205757,1.2,1697,12,1,345-28,[]
TX,13.612964523,290368.061531385,4644131.698014515,1.2,2106,12,1,67-14,[]
TX,13.65928858,291113.042478435,4642463.982938373,1.2,2031,11,1,53-13,[]
TX,13.82033624,291759.845761308,4642633.28618218,1.2,503,12,1,183-5,[]
TX,13.922659027,290836.443391504,4638666.212643202,1.2,535,12,1,186-20,[]
TX,13.995898075,289873.611726924,4639213.805976907,1.2,873,11,1,220-2,[]
TX,14.165930018,292078.401036623,4641769.204326726,1.2,775,12,1,209-7,[]
TX,14.273648585,292054.736101015,4642281.118845606,1.2,613,12,1,194-30,[]
TX,14.311150479,291238.35805697,4642280.968341612,1.2,1016,11,1,238-30,[]
TX,14.333724761,290343.542055977,4641856.122832652,1.2,1098,7,1,245-22,[]
TX,14.417411992,289184.478683723,4640404.428531855,1.2,1507,7,1,315-1,[]
TX,14.561618871,297565.459652034,4643624.409449359,1.2,270,12,1,14-29,[]
TX,14.667004265,291728.994412859,4642159.268191378,1.2,1609,12,1,329-15,[]
TX,14.796973084,290514.279117119,4640845.646585286,1.2,491,7,1,183-14,[]
TX,14.906908595,293741.057853639,4645370.596305057,1.2,1915,12,1,37-20,[]
TX,14.956720851,291518.444166887,4642069.374944036,1.2,1959,12,1,4-4,[]
TX,14.998802966,292691.666585884,4641830.752682652,1.2,2228,12,1,85-16,[]
TX,15.17869545,293389.541626076,4642718.246416396,1.2,1260,12,1,275-25,[]
TX,15.542444082,291687.811272985,4642219.367674608,1.2,319,12,1,152-21,[]
