label,timestamp,x,y,z,dev_addr,spreading_factor,framecounter,NODE_ID,receptions
TX,0.098510068,290433.85628985,4640518.318696162,1.2,1126,7,1,288-29,[]
TX,0.106949667,290036.674581155,4640974.53344567,1.2,330,7,1,172-1,[]
TX,0.311260173,292283.54173191,4642319.960101934,1.2,279,12,1,156-7,"[['RX_GW', 2.942998782, 279, 12, 1, 868.1, -141.241235567, '00:00:00:00:00:02']]"
TX,0.372106157,290898.275447765,4642211.296321737,1.2,261,10,1,156-13,[]
TX,0.504036691,294971.545972285,4642711.250904072,1.2,644,7,1,212-17,"[['RX_GW', 0.619034327, 644, 7, 1, 868.1, -120.891512867, '00:00:00:00:00:04']]"
TX,1.144095612,290484.365096477,4640613.726146349,1.2,982,7,1,257-24,[]
TX,1.899459072,292710.232188964,4641831.409318522,1.2,1036,12,1,266-17,[]
TX,2.272501069,291999.923397769,4643712.967723565,1.2,1405,12,1,351-24,[]
TX,2.332267604,289071.980480258,4641818.493209288,1.2,1638,9,1,49-22,[]
TX,2.393288281,295126.501859614,4642702.803248407,1.2,1290,8,1,321-25,"[['RX_GW', 2.60070162, 1290, 8, 1, 868.1, -126.520637278, '00:00:00:00:00:04']]"
TX,2.539723768,290368.080196936,4641801.941867225,1.2,1376,8,1,343-6,[]
TX,2.559097002,291576.467587672,4640954.9307679,1.2,710,10,1,222-21,[]
TX,2.682871804,295637.66284923,4641934.836356046,1.2,1805,7,1,83-9,"[['RX_GW', 2.797866085, 1805, 7, 1, 868.1, -97.459750367, '00:00:00:00:00:04']]"
TX,2.691012448,290691.583806922,4641294.632830158,1.2,1381,7,1,344-13,[]
TX,2.715169164,271802.259597754,4630666.191431293,1.2,482,12,1,196-12,[]
TX,2.93092013,291655.240911035,4642116.196128431,1.2,511,12,1,198-7,[]
TX,3.009921737,290906.203855432,4641307.614351839,1.2,718,7,1,222-8,"[['RX_GW', 3.124918675, 718, 7, 1, 868.1, -120.053039523, '00:00:00:00:00:02']]"
TX,3.076269812,292207.251117661,4638102.678992356,1.2,747,12,1,225-17,[]
TX,3.128867235,291028.090445521,4641147.847953689,1.2,32,7,1,105-25,"[['RX_GW', 3.243864401, 32, 7, 1, 868.1, -123.318242352, '00:00:00:00:00:02']]"
TX,3.452525082,291664.557026158,4642488.891757435,1.2,888,12,1,243-10,[]
TX,3.480700083,291642.003124018,4642112.830400012,1.2,533,12,1,2-27,[]
TX,3.591707918,290467.538389415,4641506.801720492,1.2,765,7,1,228-13,[]
TX,3.690303901,290124.093376683,4641499.705110086,1.2,1324,7,1,331-15,[]
TX,3.839166299,292055.283217954,4642253.684071717,1.2,1577,12,1,4-22,[]
TX,3.876140342,289045.334347342,4642514.18980086,1.2,1718,10,1,7-29,[]
TX,3.884236842,289943.676390334,4640899.231809144,1.2,49,7,1,111-20,[]
TX,3.982125671,290151.017386532,4641481.885922922,1.2,1215,7,1,301-7,[]
TX,4.33313779,296699.209558036,4646481.677958228,1.2,1279,12,1,317-29,[]
TX,4.468289699,292526.26846345,4642917.815229669,1.2,621,12,1,21-16,[]
TX,4.500335323,290476.549804644,4640634.434822924,1.2,227,7,1,143-6,[]
TX,4.660934063,290041.714342074,4634173.617997041,1.2,1084,12,1,279-20,[]
TX,4.827819649,290057.828773731,4642506.238256055,1.2,1913,8,1,96-14,[]
TX,4.868107478,289568.329155424,4637730.53816534,1.2,817,12,1,234-9,[]
TX,5.263155325,290605.160363271,4641090.311275439,1.2,985,7,1,257-27,[]
TX,5.377481835,287814.648640126,4637736.79000097,1.2,808,12,1,234-13,[]
TX,5.391499032,291854.889515902,4642529.892417454,1.2,111,12,1,120-30,[]
TX,5.416889494,289477.626153812,4640119.925182545,1.2,572,7,1,203-30,[]
TX,5.424582755,291851.362911647,4641085.066281494,1.2,1629,10,1,45-15,[]
TX,5.549368414,290397.455742377,4641807.27705634,1.2,1428,8,1,352-29,[]
TX,5.602371521,271636.452534885,4630650.696872913,1.2,354,12,1,176-5,[]
TX,5.658334278,289920.283177055,4640890.07265428,1.2,660,7,1,213-15,[]
TX,5.798279937,287278.251994607,4641598.606655193,1.2,684,12,1,22-4,[]
TX,6.101590713,283715.543461914,4628215.957674711,1.2,321,12,1,170-15,[]
TX,6.308683732,292307.425115461,4642935.379696342,1.2,1339,12,1,341-1,[]
TX,6.403536776,291845.218898243,4642563.165441208,1.2,1474,12,1,360-30,[]
TX,6.727803009,295454.837774631,4642633.175060235,1.2,857,7,1,240-6,[]
TX,6.777781925,291667.151009742,4644361.307362273,1.2,602,12,1,208-25,[]
TX,7.082381558,299781.577167388,4630297.052048855,1.2,703,12,1,220-8,[]
TX,7.116042096,289671.392670571,4641682.49278046,1.2,1609,7,1,42-3,[]
TX,7.131084889,292813.998475921,4642007.595199311,1.2,1420,12,1,352-2,[]
TX,7.253254975,288783.505274848,4639652.665952738,1.2,388,9,1,184-4,[]
TX,7.303890334,293926.646973036,4639331.358301099,1.2,1374,12,1,343-4,[]
TX,7.848456323,289572.764313041,4642188.221305745,1.2,1056,8,1,267-22,[]
TX,7.985477117,291870.351202635,4641633.925884564,1.2,138,12,1,127-26,[]
TX,8.113097815,290551.370996137,4643186.27087108,1.2,1734,12,1,74-26,[]
TX,8.156925881,291216.921881325,4642281.222903696,1.2,1651,12,1,53-28,[]
TX,8.256019818,290687.775519631,4641302.569103335,1.2,22,7,1,104-29,[]
TX,8.323413955,290303.865814156,4646512.54083418,1.2,1264,12,1,315-25,[]
TX,8.464092542,295765.713399355,4654658.02964943,1.2,831,12,1,235-4,[]
TX,8.516677182,271627.750655886,4630650.538440821,1.2,1561,12,1,37-6,[]
TX,8.577196552,291076.938367307,4641087.925217807,1.2,937,7,1,249-1,[]
TX,8.697851819,292684.748558426,4641810.358615535,1.2,1711,12,1,7-14,[]
TX,8.758153818,288922.75244642,4630722.226787268,1.2,1333,12,1,337-20,[]
TX,9.741540957,291745.056926654,4642809.676766081,1.2,1887,12,1,94-14,[]
TX,10.029315246,290859.112873641,4642305.369799706,1.2,1114,10,1,288-1,"[['RX_GW', 10.688826319, 1114, 10, 1, 868.1, -132.45201036, '00:00:00:00:00:02']]"
TX,10.063790365,291193.896983086,4644720.519628713,1.2,243,12,1,153-15,[]
TX,10.121272272,290322.459331402,4640125.951935468,1.2,139,7,1,127-27,[]
TX,10.129042646,299723.259526961,4630069.542353163,1.2,145,12,1,129-4,[]
TX,10.49130342,294709.502462386,4642500.509536367,1.2,1573,8,1,39-8,"[['RX_GW', 10.698717164, 1573, 8, 1, 868.1, -126.835552223, '00:00:00:00:00:04']]"
TX,10.701590642,289281.047920908,4642460.38229173,1.2,1209,9,1,300-9,"[['RX_GW', 11.073357788, 1209, 9, 1, 868.1, -129.613390855, '00:00:00:00:00:02']]"
TX,10.821709677,292748.756266439,4641355.569627118,1.2,759,12,1,225-7,[]
TX,10.862510199,290009.838217984,4644127.676945709,1.2,1448,12,1,357-23,[]
