label,timestamp,x,y,z,dev_addr,spreading_factor,framecounter,NODE_ID,receptions
TX,0.467221484,292519.270045037,4642914.148916286,1.2,262,12,1,220-21,[]
TX,0.711115041,291419.562190488,4642040.275889366,1.2,287,10,1,224-9,[]
TX,0.826671736,289726.408468232,4642717.267922731,1.2,495,11,1,264-29,[]
TX,1.220835362,290698.753722883,4641305.508330885,1.2,401,7,1,241-22,[]
TX,1.713405609,290693.274584086,4641303.54288838,1.2,161,7,1,2-12,[]
TX,1.897067994,290960.56108194,4640768.686136888,1.2,311,7,1,228-27,[]
TX,2.127773115,293930.103141885,4643728.480526814,1.2,437,12,1,257-1,[]
TX,2.267134695,291744.423162385,4642795.158366179,1.2,357,12,1,235-3,[]
TX,2.41109319,292459.9420389,4640556.917745268,1.2,317,12,1,232-1,[]
TX,4.582575348,295155.21807638,4642698.169145375,1.2,236,8,1,212-4,"[['RX_GW', 4.789988626, 236, 8, 1, 868.1, -124.214756283, '00:00:00:00:00:04']]"
TX,4.964654853,290692.389537578,4641306.951968498,1.2,452,7,1,257-26,"[['RX_GW', 5.079651146, 452, 7, 1, 868.1, -116.945528936, '00:00:00:00:00:02']]"
TX,5.029724549,291822.433091087,4642508.890388258,1.2,667,12,1,42-4,[]
TX,5.311993603,291574.843444657,4640948.798066091,1.2,51,8,1,115-8,"[['RX_GW', 5.519408517, 51, 8, 1, 868.1, -126.024837911, '00:00:00:00:00:02']]"
TX,5.743432253,290648.320792452,4641352.915730564,1.2,164,7,1,2-15,"[['RX_GW', 5.858428497, 164, 7, 1, 868.1, -122.453975935, '00:00:00:00:00:02']]"
TX,6.297248441,295211.055966609,4642702.998339496,1.2,235,7,1,212-29,"[['RX_GW', 6.412245637, 235, 7, 1, 868.1, -123.354899996, '00:00:00:00:00:04']]"
TX,7.24533666,290415.445203058,4640472.637275001,1.2,456,7,1,257-4,"[['RX_GW', 7.360332271, 456, 7, 1, 868.1, -113.92097338, '00:00:00:00:00:02']]"
TX,7.699325145,291263.349686985,4642794.16317501,1.2,755,12,1,80-15,[]
TX,8.001251859,288479.092853082,4642442.103162743,1.2,499,12,1,266-9,[]
TX,8.050361153,291035.599790946,4642222.052746641,1.2,325,10,1,232-30,[]
TX,8.57472396,286741.033576278,4641377.649150319,1.2,552,12,1,298-1,[]
TX,9.004796848,290035.745397081,4641534.04881391,1.2,147,7,1,195-29,[]
TX,9.25442237,293263.563123394,4649625.013623243,1.2,219,12,1,21-17,[]
TX,9.882425879,290368.836570632,4641436.901097042,1.2,217,7,1,208-8,[]
TX,9.903343408,290436.675709082,4641811.765822842,1.2,316,7,1,228-8,[]
TX,10.310749394,290518.843582587,4641365.662233265,1.2,704,7,1,61-16,[]
TX,12.195903001,290401.15343862,4641826.904900684,1.2,335,7,1,234-24,"[['RX_GW', 12.310899898, 335, 7, 1, 868.1, -121.909121373, '00:00:00:00:00:02']]"
TX,12.389163295,288942.376424411,4642786.088047818,1.2,155,12,1,197-29,[]
TX,12.636501255,290053.496776666,4641519.391262357,1.2,165,7,1,2-16,[]
TX,12.713197419,289092.820585175,4638689.387928228,1.2,173,12,1,2-5,[]
TX,12.759656075,296070.78172529,4640690.655047237,1.2,387,7,1,238-21,"[['RX_GW', 12.874653165, 387, 7, 1, 868.1, -121.332777903, '00:00:00:00:00:04']]"
TX,12.786018489,293851.757823693,4640239.691126049,1.2,252,12,1,22-21,[]
TX,12.929758846,292396.170318497,4639754.678897093,1.2,485,12,1,260-2,[]
TX,12.975331535,290721.319447572,4637655.267538694,1.2,89,12,1,169-23,[]
TX,13.117405569,290564.697916479,4634885.094282811,1.2,750,12,1,80-1,[]
TX,13.15080012,294707.950829382,4638542.596034104,1.2,160,12,1,2-1,[]
TX,13.533279512,291718.188133123,4642768.604989236,1.2,83,12,1,156-23,[]
TX,14.087628929,294342.386446233,4638965.667437298,1.2,394,12,1,238-8,[]
TX,14.128304072,293616.841434224,4643460.691160008,1.2,527,12,1,288-12,[]
TX,14.611558182,290634.869315381,4641469.070957717,1.2,166,7,1,2-2,[]
TX,15.776379029,290284.543895909,4641291.784232821,1.2,729,7,1,79-11,"[['RX_GW', 15.891374209, 729, 7, 1, 868.1, -111.815048552, '00:00:00:00:00:02']]"
TX,16.186131389,295724.497500026,4641611.60369877,1.2,627,7,1,365-30,[]
TX,16.1923377,291844.854101036,4642535.122797484,1.2,663,12,1,42-21,[]
TX,16.454227623,289606.414592988,4637873.498916552,1.2,115,12,1,191-1,[]
TX,16.870905181,291150.655860154,4640470.554820402,1.2,358,9,1,235-30,[]
TX,18.221471665,295184.337799587,4640730.440708888,1.2,125,8,1,193-14,"[['RX_GW', 18.428884853, 125, 8, 1, 868.1, -125.925058955, '00:00:00:00:00:04']]"
