label,timestamp,x,y,z,dev_addr,spreading_factor,framecounter,NODE_ID,receptions
TX,0.038781531,290665.242504777,4641308.617547642,1.2,1054,7,1,352-6,"[['RX_GW', 0.153777747, 1054, 7, 1, 868.1, -117.673080395, '00:00:00:00:00:02']]"
TX,0.18423913,291820.288454942,4642505.47768,1.2,687,12,1,242-8,[]
TX,0.291084721,290216.804161317,4642404.064660346,1.2,1385,9,1,89-8,"[['RX_GW', 0.662851294, 1385, 9, 1, 868.1, -127.825226915, '00:00:00:00:00:02']]"
TX,0.440198437,290681.134080169,4647241.668453769,1.2,1397,12,1,94-21,[]
TX,0.694079591,291049.802796745,4641102.267903938,1.2,417,7,1,203-22,"[['RX_GW', 0.809076798, 417, 7, 1, 868.1, -119.526217465, '00:00:00:00:00:02']]"
TX,0.8544465,291430.907868261,4641051.874725919,1.2,625,9,1,235-30,"[['RX_GW', 1.226212965, 625, 9, 1, 868.1, -127.310068521, '00:00:00:00:00:02']]"
TX,0.93371088,290479.066534678,4646719.963467542,1.2,1244,12,1,59-2,[]
TX,1.692462724,282279.606813793,4640483.961699456,1.2,384,12,1,2-3,[]
TX,2.067551722,290370.271222137,4641801.983871738,1.2,122,7,1,135-12,"[['RX_GW', 2.1825485, 122, 7, 1, 868.1, -120.182016768, '00:00:00:00:00:02']]"
TX,2.129441183,292992.340951512,4640478.893720496,1.2,1106,12,1,365-1,[]
TX,2.714465713,291034.997763332,4641945.711111329,1.2,683,10,1,242-4,"[['RX_GW', 3.373976233, 683, 10, 1, 868.1, -131.356929418, '00:00:00:00:00:02']]"
TX,2.742204296,290237.807211995,4640236.236375808,1.2,1378,7,1,89-23,[]
TX,3.314777577,295376.910299093,4639710.36471552,1.2,1159,10,1,37-6,[]
TX,3.344917366,278120.622914932,4632403.673745435,1.2,1077,12,1,361-11,[]
TX,3.424000556,291836.824703634,4642563.408844746,1.2,1276,12,1,7-11,[]
TX,3.540962686,290453.369899092,4642098.28178091,1.2,552,8,1,225-4,"[['RX_GW', 3.74837649, 552, 8, 1, 868.1, -125.512302985, '00:00:00:00:00:02']]"
TX,3.56185046,290365.348076074,4641440.806821218,1.2,436,7,1,208-26,[]
TX,3.752463958,292943.40418797,4640307.806327456,1.2,231,12,1,172-15,[]
TX,4.055502392,295867.585325673,4643781.333085986,1.2,1036,12,1,351-30,[]
TX,4.066431975,295137.167062334,4642766.407123827,1.2,950,7,1,321-29,[]
TX,4.112189695,285917.159150562,4641472.821932882,1.2,457,12,1,21-7,[]
TX,4.406318794,290004.887353032,4642664.938570768,1.2,71,12,1,119-3,[]
TX,4.541826095,286632.230867615,4641980.77224084,1.2,1236,12,1,58-26,[]
TX,4.585229617,291735.274871898,4642784.553825042,1.2,192,12,1,156-7,[]
TX,4.65376984,290055.382083502,4640947.778872095,1.2,983,7,1,341-1,[]
TX,5.189455761,291494.610698478,4642708.110368246,1.2,925,12,1,315-1,[]
TX,5.379345202,289117.899151555,4642529.012745259,1.2,852,10,1,29-23,[]
TX,5.643707647,282291.972916209,4637184.041527582,1.2,530,12,1,223-8,[]
TX,5.780068296,291865.873076518,4642668.531033549,1.2,781,12,1,262-21,[]
TX,5.985772503,294342.973367028,4642717.655902511,1.2,405,10,1,202-3,"[['RX_GW', 6.645283677, 405, 10, 1, 868.1, -130.776413579, '00:00:00:00:00:04']]"
TX,6.171612437,290367.790042788,4641815.272916905,1.2,1208,7,1,53-11,[]
TX,6.236576381,291852.969453419,4642553.739127809,1.2,1132,12,1,369-11,[]
TX,6.388623343,291862.212430296,4642542.826465021,1.2,1182,12,1,42-18,[]
TX,6.439632954,290199.202845315,4641014.528876544,1.2,838,7,1,288-14,"[['RX_GW', 6.55462734, 838, 7, 1, 868.1, -100.004270281, '00:00:00:00:00:02']]"
TX,6.43978299,290480.988363416,4640856.160413706,1.2,82,7,1,12-16,[]
TX,6.503565924,291528.108830807,4641350.115352281,1.2,1143,10,1,369-29,[]
TX,6.617516506,292809.13866216,4640077.093520701,1.2,499,12,1,220-19,[]
TX,6.916689136,290088.398521524,4640912.774805536,1.2,663,7,1,241-17,"[['RX_GW', 7.031683081, 663, 7, 1, 868.1, -83.088325106, '00:00:00:00:00:02']]"
TX,6.998344872,291839.625732783,4642872.360981296,1.2,191,12,1,156-6,[]
TX,7.062001658,292692.885126681,4641835.240241622,1.2,494,12,1,22-7,[]
TX,7.583696296,290461.279660185,4641705.916309621,1.2,27,7,1,105-26,[]
TX,7.609471977,290073.860336993,4640921.482602792,1.2,197,7,1,157-12,[]
TX,7.65551042,290708.10483437,4641304.706514552,1.2,642,7,1,236-27,[]
TX,8.38132334,291359.843968484,4642712.648534709,1.2,657,12,1,238-3,[]
TX,8.910881949,290553.761521535,4641861.058841652,1.2,1200,7,1,44-23,[]
TX,8.916971263,291049.046782108,4640495.027414291,1.2,1321,8,1,80-15,[]
TX,8.985742407,292669.506844403,4641842.71679064,1.2,955,12,1,322-27,[]
TX,9.101167016,289488.188905198,4648421.543889701,1.2,1419,12,1,99-30,[]
TX,9.106361282,292550.979120908,4643883.964228268,1.2,543,12,1,224-4,[]
TX,9.340725942,291202.976408601,4641294.123359216,1.2,1412,9,1,96-15,[]
TX,9.757874563,289232.056049569,4642468.147185394,1.2,1228,11,1,58-12,"[['RX_GW', 11.238633799, 1228, 11, 1, 868.1, -133.872358561, '00:00:00:00:00:02']]"
TX,9.790106615,296107.914123379,4640406.490093648,1.2,83,9,1,121-11,"[['RX_GW', 10.161872664, 83, 9, 1, 868.1, -128.665368665, '00:00:00:00:00:04']]"
TX,10.551841858,290105.243317672,4641505.12776551,1.2,1112,7,1,365-16,[]
TX,10.690653795,291928.644753014,4643787.330686159,1.2,795,12,1,266-23,[]
TX,10.969750788,290673.292864134,4641294.594114473,1.2,1083,7,1,361-24,[]
TX,11.18534613,290568.528202089,4641018.901142707,1.2,721,7,1,257-1,[]
TX,11.234056795,292539.90459389,4642284.10163904,1.2,761,12,1,259-30,[]
TX,11.2392095,293776.687017286,4640479.659573497,1.2,992,12,1,341-28,[]
TX,11.254471829,290430.674537352,4642848.123158465,1.2,198,12,1,157-13,[]
TX,11.551725841,290325.175223335,4641891.188604518,1.2,1283,7,1,7-24,[]
TX,11.801615742,289707.573655781,4641856.339612547,1.2,20,7,1,105-13,[]
TX,11.818765187,271493.716178656,4630561.523029289,1.2,966,12,1,328-10,[]
TX,11.882304416,292674.457939427,4641764.77943664,1.2,957,12,1,322-29,[]
TX,11.916607636,292237.644574553,4641945.990232163,1.2,1328,12,1,80-29,[]
TX,11.92410944,291755.364359723,4641660.087031382,1.2,977,12,1,337-23,[]
TX,13.25001343,290701.662281412,4641299.515378163,1.2,153,7,1,143-17,[]
TX,13.45490103,290473.911966602,4640638.115613732,1.2,1119,7,1,365-25,[]
TX,13.656229954,290298.449745316,4641537.597312051,1.2,1154,7,1,37-23,[]
TX,13.768260032,290553.03850021,4640853.88340509,1.2,982,7,1,337-9,[]
TX,13.8036112,288055.002976035,4643247.604366753,1.2,1256,12,1,61-16,[]
TX,14.338897653,291844.88546289,4641614.77278361,1.2,587,12,1,232-28,[]
TX,14.499640072,292528.362698732,4641148.290914565,1.2,302,12,1,193-10,[]
TX,14.639300607,290080.289561549,4640921.627424887,1.2,108,7,1,132-14,[]
TX,14.695717593,290107.945153545,4640888.55738725,1.2,111,7,1,132-19,[]
TX,14.722272232,292334.32436456,4641165.833481803,1.2,328,12,1,195-28,[]
TX,14.735345976,291989.110766787,4643712.321088004,1.2,1282,12,1,7-2,[]
TX,14.849117395,289985.680027409,4639862.163782557,1.2,1252,7,1,61-12,[]
TX,14.951200599,292636.834534072,4641772.690820168,1.2,1164,12,1,40-18,[]
TX,15.017690049,291028.536480207,4641137.455396455,1.2,555,7,1,225-7,[]
TX,15.064726917,291201.591424044,4633005.504798699,1.2,1128,12,1,365-7,[]
TX,15.210541306,291226.462591686,4639541.892106841,1.2,1056,10,1,356-21,[]
TX,15.640464507,289670.692200416,4641755.444167417,1.2,1301,7,1,79-16,[]
TX,15.950938527,291975.140044698,4643967.630909074,1.2,500,12,1,220-20,[]
TX,16.083145035,292696.274943222,4641818.967520392,1.2,949,12,1,321-28,[]
TX,16.902404026,291563.038345599,4639273.024577895,1.2,416,12,1,203-21,[]
TX,16.925733378,291230.000687169,4642269.170967357,1.2,756,12,1,259-25,[]
TX,17.119639357,292918.026194826,4640203.359761542,1.2,1013,12,1,344-14,[]
TX,17.229243643,289191.775846282,4642521.421047449,1.2,1251,11,1,61-11,[]
TX,17.342197337,287899.980247377,4643996.549388685,1.2,743,12,1,257-7,[]
TX,17.378246647,290346.217534631,4641437.021236558,1.2,941,7,1,321-10,[]
TX,17.921007524,291842.292785195,4642554.645591298,1.2,713,12,1,250-30,[]
TX,18.1110104,290465.468486841,4636350.712530354,1.2,262,12,1,178-30,[]
TX,18.115863173,295643.158238487,4645558.75104246,1.2,497,12,1,220-17,[]
TX,18.195963507,271665.429347278,4630619.907873101,1.2,706,12,1,250-2,[]
TX,18.227609314,291987.239106385,4642910.034691804,1.2,911,12,1,298-29,[]
TX,18.342241485,289798.296057009,4642542.058057674,1.2,245,10,1,176-8,[]
TX,18.597996763,297464.143412646,4637071.886460801,1.2,1133,12,1,369-12,[]
TX,19.19731153,290669.73041448,4641289.907788518,1.2,265,7,1,185-26,[]
