label,timestamp,x,y,z,dev_addr,spreading_factor,framecounter,NODE_ID,receptions
TX,0.594811589,291827.29507259,4642560.269078982,1.2,587,12,1,53-24,[]
TX,0.746899413,291837.897082851,4642550.968267591,1.2,349,12,1,238-23,[]
TX,0.893013245,302443.010263497,4639534.420957042,1.2,225,12,1,220-17,[]
TX,1.023643117,292702.539734591,4637183.017273123,1.2,522,12,1,351-2,[]
TX,1.153209255,295140.747018147,4642746.801645409,1.2,201,9,1,212-28,"[['RX_GW', 1.524974709, 201, 9, 1, 868.1, -128.850461805, '00:00:00:00:00:04']]"
TX,1.632361262,297858.560938092,4646517.220413698,1.2,196,12,1,212-20,[]
TX,2.218518816,293671.708024839,4639986.355917321,1.2,332,12,1,236-23,[]
TX,2.27533052,291206.594992574,4641299.571863145,1.2,212,9,1,214-28,[]
TX,2.474467646,290068.546930981,4639687.52681719,1.2,415,9,1,257-8,[]
TX,2.48315933,290368.645192846,4639170.001758997,1.2,50,10,1,115-8,[]
TX,2.559188434,292526.399360153,4642915.164747115,1.2,58,12,1,129-4,[]
TX,2.709945841,293216.106611794,4641597.100999441,1.2,214,12,1,214-30,[]
TX,2.98129579,291035.153103414,4641123.63043792,1.2,497,8,1,321-27,[]
TX,3.768751603,305317.458221466,4638829.516061642,1.2,655,12,1,89-15,[]
TX,5.583525579,291720.398089983,4642151.762656018,1.2,93,12,1,178-27,[]
TX,5.725314698,291878.530384492,4642555.031532898,1.2,149,12,1,200-17,[]
TX,6.030892639,290222.021031848,4643031.23235899,1.2,48,12,1,115-6,[]
TX,6.791097627,292528.419595216,4642897.038524853,1.2,183,12,1,208-27,[]
TX,7.178299523,293952.79498209,4644132.892565857,1.2,166,12,1,203-4,[]
TX,7.209782232,291214.712442628,4641300.618429757,1.2,528,9,1,351-29,[]
TX,7.496508015,286831.250707428,4641681.19821207,1.2,535,12,1,361-2,[]
TX,7.681725103,292671.074403426,4641784.421901687,1.2,493,12,1,321-10,[]
TX,8.0356843,271629.370186527,4630637.951033349,1.2,351,12,1,238-4,[]
TX,8.064676466,295780.808691389,4639519.788326797,1.2,105,12,1,193-1,[]
TX,8.198467154,289451.1697236,4642434.236332972,1.2,68,11,1,143-22,[]
TX,8.335684014,290316.126461176,4640352.15609573,1.2,469,7,1,273-29,"[['RX_GW', 8.450679721, 469, 7, 1, 868.1, -112.596864497, '00:00:00:00:00:02']]"
TX,8.340496205,289501.146177507,4639965.455898017,1.2,186,8,1,208-7,[]
TX,8.979422801,291269.088084351,4641988.983446123,1.2,182,11,1,208-26,[]
TX,9.808291783,291838.975888286,4642551.584735839,1.2,150,12,1,200-18,[]
TX,10.185723593,289034.978990621,4640397.621573781,1.2,463,7,1,273-2,[]
TX,10.24336287,302542.806580422,4634397.127080747,1.2,501,12,1,322-24,[]
TX,10.24456721,290286.909241929,4641297.27685443,1.2,623,7,1,79-12,[]
TX,10.399795803,293830.711778044,4643647.027528437,1.2,404,12,1,257-23,[]
TX,10.532617543,294460.966635543,4644360.370858965,1.2,8,12,1,104-2,[]
TX,10.557239524,289720.909441566,4641856.948506272,1.2,262,8,1,228-1,"[['RX_GW', 10.764652277, 262, 8, 1, 868.1, -124.18242317, '00:00:00:00:00:02']]"
TX,10.92427952,291839.350757543,4642586.079489511,1.2,303,12,1,235-12,[]
TX,11.235912339,289850.267403285,4641897.348125301,1.2,425,7,1,259-2,"[['RX_GW', 11.350909141, 425, 7, 1, 868.1, -122.366723011, '00:00:00:00:00:02']]"
TX,12.292631984,290548.970681278,4641417.690418153,1.2,273,7,1,228-28,"[['RX_GW', 12.407628089, 273, 7, 1, 868.1, -119.462732871, '00:00:00:00:00:02']]"
TX,13.402636649,292519.274608305,4642914.834551224,1.2,243,12,1,222-6,"[['RX_GW', 16.03437753, 243, 12, 1, 868.1, -142.290641993, '00:00:00:00:00:04']]"
TX,14.655074162,290339.190235001,4641427.68560949,1.2,443,7,1,260-26,"[['RX_GW', 14.77006981, 443, 7, 1, 868.1, -111.842851739, '00:00:00:00:00:02']]"
TX,15.45067509,289053.651924199,4637250.305571269,1.2,381,12,1,246-8,[]
TX,15.720386796,292534.282211198,4642926.924836366,1.2,236,12,1,222-20,[]
TX,16.285113428,292477.995272436,4641888.862259986,1.2,72,12,1,155-16,[]
TX,16.92273573,291872.324161879,4642564.351694351,1.2,10,12,1,104-25,[]
TX,17.247679291,292257.371392944,4643426.613434155,1.2,560,12,1,40-22,[]
TX,17.471697818,290339.32624783,4641993.263855283,1.2,306,8,1,235-15,[]
TX,17.674169544,291817.798757328,4641897.819203191,1.2,79,12,1,169-23,[]
TX,17.933428108,294422.730036188,4640340.883068851,1.2,410,9,1,257-29,"[['RX_GW', 18.305195864, 410, 9, 1, 868.1, -128.881804732, '00:00:00:00:00:04']]"
TX,18.752535805,291730.286891868,4642778.886740407,1.2,77,12,1,156-9,[]
TX,19.065434291,294147.60541588,4642793.551543895,1.2,38,12,1,113-8,[]
TX,19.376764732,290708.503775371,4638917.279840696,1.2,240,12,1,222-3,[]
TX,19.584703835,290084.900484649,4642490.883798395,1.2,586,10,1,53-2,[]
TX,19.59949985,291129.213897412,4641362.691507158,1.2,432,9,1,259-30,[]
TX,19.848377427,291465.855479261,4642462.957285937,1.2,576,12,1,42-8,[]
TX,20.393620394,292696.642889958,4641808.960914323,1.2,542,12,1,369-14,[]
TX,20.939995407,290624.141416128,4640628.597628023,1.2,170,7,1,203-8,[]
TX,21.577607721,290514.892964149,4639895.187573092,1.2,169,8,1,203-7,[]
TX,21.639161766,292524.253509021,4642912.504511423,1.2,512,12,1,337-9,[]
TX,22.042928399,291843.319709247,4642520.340941591,1.2,564,12,1,42-17,[]
TX,22.135395185,291180.454089678,4641289.291105282,1.2,36,9,1,113-22,"[['RX_GW', 22.507160983, 36, 9, 1, 868.1, -127.975066585, '00:00:00:00:00:02']]"
TX,22.422736409,292479.792168618,4642907.360817713,1.2,449,12,1,262-23,[]
TX,23.00505519,293914.994969244,4640701.896599863,1.2,1,12,1,104-10,[]
TX,23.610177429,292215.731464389,4642161.368101865,1.2,435,12,1,260-12,[]
TX,24.218038315,288821.040104522,4639873.018832572,1.2,80,10,1,169-8,[]
TX,24.228788874,292163.859422197,4639419.359395033,1.2,131,12,1,198-9,[]
TX,24.407184141,290062.083808579,4642380.197850064,1.2,47,10,1,115-3,[]
TX,24.842388571,290370.313606766,4641442.689796808,1.2,187,7,1,208-8,[]
TX,25.687663593,292057.817800644,4637081.928535505,1.2,375,12,1,242-23,[]
TX,26.023642977,290356.056186128,4641434.646808498,1.2,5,7,1,104-14,[]
TX,27.537356579,291203.049208944,4642129.27987529,1.2,26,12,1,111-17,"[['RX_GW', 30.169091927, 26, 12, 1, 868.1, -136.230307023, '00:00:00:00:00:02']]"
TX,27.756670064,292198.434073616,4639438.857757852,1.2,511,12,1,337-23,[]
TX,28.387734225,290370.876154387,4641818.081065779,1.2,299,7,1,234-27,[]
TX,28.395863484,290306.084027683,4641314.57828198,1.2,556,7,1,37-8,[]
TX,30.283913388,290369.66053196,4641418.559130692,1.2,7,7,1,104-16,"[['RX_GW', 30.398909075, 7, 7, 1, 868.1, -119.060854512, '00:00:00:00:00:02']]"
TX,31.081428952,293361.813280328,4649286.67551822,1.2,561,12,1,40-6,[]
TX,31.221746349,290856.674485606,4642243.524446343,1.2,606,11,1,68-15,"[['RX_GW', 32.702505236, 606, 11, 1, 868.1, -134.454854724, '00:00:00:00:00:02']]"
TX,31.726780626,291118.864228416,4641152.9429219,1.2,444,9,1,260-27,[]
TX,31.768649911,291532.332855339,4643848.468369964,1.2,158,12,1,200-6,[]
TX,32.007834934,295103.695713944,4654328.557673358,1.2,309,12,1,235-19,[]
TX,33.410099113,290063.84609386,4642755.609484253,1.2,71,10,1,155-15,"[['RX_GW', 34.069610802, 71, 10, 1, 868.1, -132.674519984, '00:00:00:00:00:02']]"
TX,33.859615852,290452.668361786,4640838.608852414,1.2,460,7,1,273-14,[]
TX,33.926696506,292872.913140734,4642248.291548959,1.2,318,12,1,235-30,[]
TX,34.011846309,290297.498264037,4641365.476235051,1.2,282,7,1,232-26,[]
TX,34.108219829,291730.23974836,4642157.925626788,1.2,88,12,1,178-14,[]
TX,34.352055412,290694.604776485,4641308.861275792,1.2,21,7,1,105-15,[]
TX,35.29566993,292700.1667408,4641804.908542532,1.2,539,12,1,369-11,[]
TX,35.405922696,290698.944440548,4641303.739902961,1.2,362,7,1,241-23,[]
TX,38.258751076,294633.988170193,4644771.860861134,1.2,368,12,1,241-8,[]
TX,38.27995799,291824.81860859,4642540.066149082,1.2,579,12,1,53-1,[]
TX,39.765337615,311739.020893455,4639563.700432971,1.2,637,12,1,8-27,[]
TX,39.905175287,290703.739202599,4641299.944146272,1.2,399,7,1,257-18,"[['RX_GW', 40.020171602, 399, 7, 1, 868.1, -122.136637502, '00:00:00:00:00:02']]"
TX,41.596084356,290382.068558572,4641814.627442911,1.2,407,7,1,257-26,"[['RX_GW', 41.711081189, 407, 7, 1, 868.1, -120.930622515, '00:00:00:00:00:02']]"
TX,41.868773942,291069.01255102,4641094.612801071,1.2,409,9,1,257-28,"[['RX_GW', 42.240539228, 409, 9, 1, 868.1, -127.32021382, '00:00:00:00:00:02']]"
