label,timestamp,x,y,z,dev_addr,spreading_factor,framecounter,NODE_ID,receptions
TX,0.204492882,291991.701861959,4643704.887446153,1.2,456,12,1,53-13,[]
TX,0.435549414,291052.872507006,4641716.535390638,1.2,459,9,1,53-16,"[['RX_GW', 0.807315477, 459, 9, 1, 868.1, -129.65923735, '00:00:00:00:00:02']]"
TX,1.912253908,294386.998231427,4643115.56858542,1.2,355,11,1,260-2,"[['RX_GW', 3.39301385, 355, 11, 1, 868.1, -134.882619881, '00:00:00:00:00:04']]"
TX,2.480408669,287692.728881499,4640715.700254957,1.2,314,12,1,257-15,"[['RX_GW', 5.112145749, 314, 12, 1, 868.1, -135.120725533, '00:00:00:00:00:02']]"
TX,3.570791227,282163.693609157,4632753.763235928,1.2,191,12,1,225-20,[]
TX,5.143456014,290354.469008018,4641864.315947208,1.2,369,8,1,273-16,"[['RX_GW', 5.350868971, 369, 8, 1, 868.1, -125.068797995, '00:00:00:00:00:02']]"
TX,5.425829912,292982.20460138,4642912.076532895,1.2,30,12,1,111-22,[]
TX,5.971322032,291102.296767163,4642463.737564486,1.2,373,11,1,273-26,"[['RX_GW', 7.452081992, 373, 11, 1, 868.1, -133.198169574, '00:00:00:00:00:02']]"
TX,7.819136913,290824.363498716,4642277.052009606,1.2,367,10,1,273-14,"[['RX_GW', 8.478647844, 367, 10, 1, 868.1, -132.123477443, '00:00:00:00:00:02']]"
TX,7.826908125,293627.156773247,4642795.422326648,1.2,490,12,1,79-16,[]
TX,9.408865789,290095.152245034,4635389.371977878,1.2,493,12,1,79-26,[]
TX,10.310831676,298397.573422121,4638608.877628765,1.2,177,12,1,222-20,[]
TX,10.767430006,291296.202377027,4642393.745190779,1.2,58,12,1,178-13,[]
TX,11.318520958,289952.776479531,4634415.102474424,1.2,33,12,1,111-8,[]
TX,11.529111745,292341.619700123,4642199.156061894,1.2,450,12,1,42-7,[]
TX,11.759139258,295217.001843533,4643938.655951961,1.2,434,12,1,369-27,[]
TX,12.46785966,291854.948979762,4642552.900966806,1.2,265,12,1,236-5,[]
TX,12.71681882,291068.302464295,4644046.070390223,1.2,341,12,1,259-24,[]
TX,12.919426613,289350.999523508,4640267.893922708,1.2,211,7,1,228-30,[]
TX,15.58258383,271613.034294866,4630654.707462342,1.2,121,12,1,203-5,[]
TX,16.344064683,290984.961422959,4641952.284951081,1.2,478,9,1,7-2,"[['RX_GW', 16.715831089, 478, 9, 1, 868.1, -127.988884648, '00:00:00:00:00:02']]"
TX,17.340244913,291884.391722922,4642548.010269976,1.2,402,12,1,322-26,[]
TX,17.665327683,292669.143131915,4641816.343335032,1.2,85,12,1,195-13,[]
TX,17.981900028,292076.273206671,4641800.413594617,1.2,15,12,1,104-30,[]
TX,19.097983947,290652.700151487,4641417.536059549,1.2,208,7,1,228-27,[]
TX,19.160533972,254789.346681847,4654145.082116581,1.2,471,12,1,7-10,[]
TX,20.031848006,293161.100381466,4640578.996568003,1.2,501,12,1,80-15,[]
TX,20.824404557,291643.133545557,4639946.288450071,1.2,169,12,1,220-19,"[['RX_GW', 23.456140566, 169, 12, 1, 868.1, -135.132339568, '00:00:00:00:00:02']]"
TX,20.883784965,295132.32414888,4642701.976981924,1.2,147,9,1,212-28,"[['RX_GW', 21.255550302, 147, 9, 1, 868.1, -128.171834499, '00:00:00:00:00:04']]"
TX,23.359736697,290883.762846716,4641268.462317487,1.2,421,7,1,351-30,[]
TX,24.145241692,290478.648824299,4640628.523067769,1.2,233,7,1,234-29,"[['RX_GW', 24.260237171, 233, 7, 1, 868.1, -114.888011436, '00:00:00:00:00:02']]"
TX,24.823725494,289949.456759542,4634403.128209366,1.2,437,12,1,369-30,[]
TX,24.923078781,291769.471558232,4639320.061428758,1.2,174,12,1,222-17,"[['RX_GW', 27.554816352, 174, 12, 1, 868.1, -137.630742441, '00:00:00:00:00:02']]"
TX,24.985308897,271668.726827327,4630625.401584352,1.2,297,12,1,242-23,[]
TX,25.073551692,290689.225993423,4641305.500324127,1.2,92,7,1,2-1,[]
TX,25.526896936,290408.54282348,4641806.128917838,1.2,13,7,1,104-28,[]
TX,26.777832272,287872.937195666,4643267.68054889,1.2,381,12,1,281-15,[]
TX,26.832386171,288818.731598998,4645684.180935631,1.2,209,12,1,228-28,[]
TX,28.43926498,293187.272013886,4642868.832949142,1.2,320,12,1,257-23,"[['RX_GW', 31.071003746, 320, 12, 1, 868.1, -139.105629422, '00:00:00:00:00:04']]"
TX,28.623098636,295177.027722002,4640533.060599911,1.2,130,10,1,208-25,[]
TX,28.827800368,282515.870232474,4632823.311677682,1.2,451,12,1,42-8,[]
TX,29.579329526,280512.649071081,4632646.68766641,1.2,198,12,1,225-8,[]
TX,29.632006856,288233.174234298,4649009.200274169,1.2,48,12,1,129-3,[]
TX,29.690365091,291815.195813079,4642540.963549931,1.2,449,12,1,42-6,[]
TX,30.803108612,290536.649219265,4641035.312760456,1.2,31,7,1,111-23,[]
TX,32.033898323,292513.480720847,4642911.2383488,1.2,291,12,1,241-6,[]
TX,32.790873064,292189.67542027,4642137.676851442,1.2,207,12,1,228-26,"[['RX_GW', 35.422611098, 207, 12, 1, 868.1, -136.489551116, '00:00:00:00:00:02']]"
TX,33.23932614,295606.1914515,4645560.306359541,1.2,319,12,1,257-22,[]
TX,35.384068069,291191.969726052,4642205.826542498,1.2,193,12,1,225-3,[]
TX,35.637446938,291528.451432158,4640995.154518375,1.2,259,11,1,236-23,"[['RX_GW', 37.118205713, 259, 11, 1, 868.1, -133.99029889, '00:00:00:00:00:02']]"
TX,35.930678195,292683.710370213,4641793.902507794,1.2,407,12,1,348-10,[]
TX,36.109816169,290361.607793175,4641433.938574991,1.2,221,7,1,234-10,[]
TX,36.990345966,293459.637204661,4639971.856642651,1.2,118,12,1,200-9,[]
TX,37.314917301,292861.185776009,4640527.967546321,1.2,441,12,1,42-18,[]
TX,38.54979766,291835.742948566,4642548.078384977,1.2,264,12,1,236-29,[]
TX,39.141193623,294130.425570563,4647412.239127026,1.2,453,12,1,53-1,[]
TX,39.245827859,295127.431129631,4642710.463328349,1.2,143,9,1,212-21,[]
TX,39.862510979,290414.300894929,4639013.566148483,1.2,386,12,1,288-14,[]
TX,39.964660469,292019.945388847,4640902.834183148,1.2,220,12,1,234-1,[]
TX,40.363407529,292095.633538479,4637040.999395373,1.2,22,12,1,105-16,[]
TX,40.544462793,293245.493583247,4641006.357023007,1.2,286,12,1,241-22,[]
TX,40.944427046,291199.617388752,4641265.001822398,1.2,225,10,1,234-15,[]
TX,41.59047323,291830.711209227,4642563.070414273,1.2,235,12,1,235-12,[]
TX,42.700341199,291649.769413913,4642120.38142628,1.2,166,12,1,22-22,[]
TX,43.092520549,291640.742464932,4642816.161387817,1.2,46,12,1,115-9,[]
TX,43.361088125,292518.598861867,4642903.058391741,1.2,262,12,1,236-27,[]
TX,43.667190774,291965.537948262,4640733.196660963,1.2,176,12,1,222-19,[]
TX,43.832614905,294468.899862298,4653055.376858458,1.2,243,12,1,235-26,[]
TX,44.480376446,274996.551392401,4631157.803620404,1.2,309,12,1,257-10,[]
TX,44.831799139,291079.109295548,4644037.645171416,1.2,236,12,1,235-14,[]
TX,46.848607236,292182.919111623,4642142.76322404,1.2,357,12,1,260-25,[]
TX,47.559720043,291832.802077399,4642541.723554711,1.2,12,12,1,104-27,[]
TX,47.592916153,291467.065446314,4642233.570922605,1.2,88,12,1,195-27,[]
TX,48.147774281,295918.131452574,4641322.219317396,1.2,152,7,1,212-8,"[['RX_GW', 48.262769236, 152, 7, 1, 868.1, -105.000223181, '00:00:00:00:00:04']]"
TX,48.563984199,295645.598773331,4645564.445743594,1.2,416,12,1,351-25,[]
TX,49.506727558,290376.795829923,4639079.002989182,1.2,87,12,1,195-26,[]
TX,49.526770157,291067.490744942,4644060.238787393,1.2,91,12,1,199-9,[]
TX,49.675277721,295930.490174705,4641318.876576428,1.2,53,7,1,129-8,"[['RX_GW', 49.790272706, 53, 7, 1, 868.1, -105.378979512, '00:00:00:00:00:04']]"
TX,50.105348024,292193.104658489,4641404.605494025,1.2,62,12,1,178-24,[]
TX,50.329143034,291826.120274237,4642547.585285367,1.2,117,12,1,200-8,[]
TX,50.651625808,292193.061664879,4642157.523549747,1.2,353,12,1,260-15,[]
TX,51.372568142,290819.174303138,4640459.669917416,1.2,40,7,1,115-22,[]
TX,51.636882671,291660.39010497,4639378.471693266,1.2,179,12,1,222-22,[]
TX,51.954533487,290470.455758942,4640704.762848623,1.2,122,7,1,203-6,[]
TX,52.266299857,289130.23236231,4641138.525686717,1.2,360,7,1,260-28,"[['RX_GW', 52.38129619, 360, 7, 1, 868.1, -115.617742417, '00:00:00:00:00:02']]"
TX,53.042719148,291171.340430237,4641320.349193406,1.2,101,10,1,2-28,"[['RX_GW', 53.702228959, 101, 10, 1, 868.1, -130.358454946, '00:00:00:00:00:02']]"
TX,55.589711773,292732.877977494,4641845.937473584,1.2,75,12,1,193-23,[]
TX,56.509745133,290455.185325093,4640581.178292837,1.2,197,7,1,225-7,"[['RX_GW', 56.624740625, 197, 7, 1, 868.1, -115.83850509, '00:00:00:00:00:02']]"
TX,56.566332063,288213.560614001,4642779.402193635,1.2,128,12,1,208-18,[]
TX,56.712256254,291873.979871382,4642557.69551906,1.2,473,12,1,7-12,[]
TX,56.734654377,289352.850796293,4641286.081010402,1.2,387,7,1,288-15,[]
TX,56.867850229,294991.810836582,4643113.515989017,1.2,214,10,1,232-25,"[['RX_GW', 57.527361007, 214, 10, 1, 868.1, -132.936017424, '00:00:00:00:00:04']]"
TX,58.380431296,291881.548814219,4642562.210571722,1.2,51,12,1,129-6,[]
TX,59.628809802,291956.341123362,4643681.17072248,1.2,95,12,1,2-15,[]
TX,59.657207412,271668.01187068,4630619.987619421,1.2,299,12,1,242-6,[]
TX,60.612315337,291852.866154653,4642566.042379898,1.2,78,12,1,193-28,[]
TX,60.64515319,290706.312069726,4641299.243663629,1.2,284,7,1,241-20,[]
TX,61.493439271,290315.800113228,4637027.586149381,1.2,454,12,1,53-11,[]
TX,61.497805195,291102.045789814,4642462.171033096,1.2,59,11,1,178-14,[]
TX,61.582164724,291207.865516473,4641298.703140748,1.2,162,10,1,22-18,[]
TX,61.599467138,287501.803886171,4641280.064264641,1.2,352,12,1,260-14,[]
TX,63.159515554,291561.62982332,4642055.313100631,1.2,307,12,1,253-23,[]
TX,63.185627908,293813.585894292,4639538.799228172,1.2,480,12,1,7-26,[]
TX,63.60700967,286506.265966525,4634523.530240286,1.2,482,12,1,7-28,[]
TX,63.819282915,291820.584863374,4642547.570599088,1.2,484,12,1,7-30,[]
TX,63.933189631,290410.783518543,4641819.358698947,1.2,231,7,1,234-27,[]
TX,64.135615048,292679.184475107,4641797.78219757,1.2,433,12,1,369-26,[]
TX,64.796010772,291059.228551397,4644027.743933385,1.2,157,12,1,214-27,[]
TX,66.017003294,293464.804801902,4645986.462493692,1.2,496,12,1,79-29,[]
TX,66.563635213,292156.418350878,4642145.597694148,1.2,80,12,1,193-6,"[['RX_GW', 69.195373163, 80, 12, 1, 868.1, -136.304061511, '00:00:00:00:00:02']]"
TX,66.706350602,305050.356985891,4671081.557148674,1.2,244,12,1,235-27,[]
TX,68.45941421,294813.153565715,4638943.895681869,1.2,133,12,1,208-6,[]
TX,68.887348945,295136.816382966,4642703.543679524,1.2,150,9,1,212-5,"[['RX_GW', 69.259114279, 150, 9, 1, 868.1, -128.157648354, '00:00:00:00:00:04']]"
TX,69.023086469,292532.42180268,4642905.245275351,1.2,131,12,1,208-27,[]
TX,70.344016428,290090.48463599,4635386.652445314,1.2,488,12,1,79-14,[]
TX,70.466273407,271652.193088878,4630619.778012461,1.2,163,12,1,22-19,[]
TX,72.182154891,275549.61852825,4633537.601393485,1.2,492,12,1,79-25,[]
TX,72.692185272,295619.930856377,4645553.967640694,1.2,415,12,1,351-24,[]
TX,72.977274558,292726.442592333,4638737.746738224,1.2,20,12,1,105-14,[]
TX,73.183093807,292523.323625093,4642914.686574837,1.2,338,12,1,259-15,[]
TX,73.826902791,285714.123312557,4633622.582647479,1.2,301,12,1,253-17,[]
TX,74.419321417,271627.757253122,4630678.861963123,1.2,205,12,1,228-17,[]
TX,75.487522455,292523.055283366,4642903.953240724,1.2,70,12,1,193-18,[]
TX,75.53554238,292497.64618418,4642985.299387352,1.2,468,12,1,59-2,[]
TX,76.621342412,292651.423610007,4642857.386478229,1.2,104,12,1,2-8,[]
TX,76.692846895,292194.156556312,4642150.815628461,1.2,350,12,1,260-12,[]
TX,77.914095554,289330.721808064,4641344.721458013,1.2,25,7,1,111-17,[]
