label,timestamp,x,y,z,dev_addr,spreading_factor,framecounter,NODE_ID,receptions
TX,0.031985413,289841.597101713,4641188.075610939,1.2,741,7,1,238-8,"[['RX_GW', 0.146979902, 741, 7, 1, 868.1, -99.461734593, '00:00:00:00:00:02']]"
TX,0.78709092,290407.809290428,4641806.575287227,1.2,983,8,1,290-28,"[['RX_GW', 0.994503777, 983, 8, 1, 868.1, -124.104989012, '00:00:00:00:00:02']]"
TX,0.890984545,290981.450977698,4642925.166826635,1.2,1151,12,1,343-20,[]
TX,1.139442677,290380.115448626,4641816.325560015,1.2,411,8,1,199-2,"[['RX_GW', 1.346855522, 411, 8, 1, 868.1, -124.041268494, '00:00:00:00:00:02']]"
TX,1.464262815,271630.286300466,4630627.744171318,1.2,620,12,1,224-4,[]
TX,2.280140056,290955.927389212,4640376.145641422,1.2,681,8,1,234-14,"[['RX_GW', 2.487553346, 681, 8, 1, 868.1, -126.829747337, '00:00:00:00:00:02']]"
TX,2.425768856,290365.177704178,4641802.34943125,1.2,1367,7,1,44-30,[]
TX,3.095592964,289846.16960656,4640589.980315863,1.2,1270,7,1,365-14,"[['RX_GW', 3.210587572, 1270, 7, 1, 868.1, -102.896017697, '00:00:00:00:00:02']]"
TX,3.272526567,289820.219277029,4643491.326209256,1.2,1291,12,1,369-11,[]
TX,3.347746677,292659.998280266,4642048.999766966,1.2,1632,12,1,94-27,[]
TX,3.423884187,289292.355949705,4640468.774359473,1.2,680,7,1,234-12,[]
TX,3.451018435,299785.265127902,4630289.708369809,1.2,571,12,1,220-18,[]
TX,3.482818399,292116.395998459,4640641.282637753,1.2,262,12,1,172-14,[]
TX,4.020536233,285996.050090967,4644508.664095588,1.2,709,12,1,235-5,[]
TX,4.051807928,292049.836325813,4641784.925594396,1.2,231,12,1,157-26,[]
TX,4.087002424,291117.5919715,4639376.416133389,1.2,96,12,1,121-13,[]
TX,4.282404782,294098.878297649,4643894.116580362,1.2,458,12,1,202-5,[]
TX,4.45491721,291824.821784986,4642541.391640669,1.2,1550,12,1,85-3,[]
TX,4.553038987,289337.655015904,4645330.63148931,1.2,548,12,1,213-29,[]
TX,4.566508636,290322.122958577,4643391.330503602,1.2,969,12,1,29-21,[]
TX,4.765963366,291854.175388015,4640740.567439307,1.2,1626,12,1,94-2,[]
TX,4.80420133,291852.051034848,4641924.623752215,1.2,658,12,1,232-1,[]
TX,5.019403282,290669.102683058,4641314.715456435,1.2,1600,7,1,90-21,[]
TX,5.103697292,288366.837457724,4642785.072225044,1.2,389,12,1,196-26,[]
TX,5.501300502,287768.512578884,4637472.019255511,1.2,1112,12,1,329-16,[]
TX,5.630428337,291227.606953701,4642299.974615038,1.2,1259,11,1,362-25,[]
TX,5.680879573,291869.370262635,4641938.905589134,1.2,307,12,1,185-24,[]
TX,5.875771823,288362.277635804,4648146.071713539,1.2,1559,12,1,87-19,[]
TX,5.918205839,291899.181675231,4644154.621360485,1.2,1619,12,1,94-13,[]
TX,6.042701554,292822.573223973,4641966.753177698,1.2,900,12,1,266-30,[]
TX,6.100561206,286902.948125351,4641842.224840514,1.2,426,12,1,2-20,[]
