x,y,SF
291610,4.64099e+06,10
290382,4.64263e+06,10
293885,4.64287e+06,12
290982,4.6419e+06,9
289951,4.6354e+06,12
291250,4.64127e+06,10
291935,4.64167e+06,12
290955,4.64229e+06,10
291442,4.64131e+06,10
293977,4.64377e+06,12
292735,4.64169e+06,12
291042,4.64049e+06,7
290272,4.64311e+06,12
291247,4.64126e+06,10
291113,4.64327e+06,12
294746,4.64062e+06,10
291945,4.64258e+06,12
291071,4.64345e+06,12
289969,4.63784e+06,12
292216,4.64193e+06,12
288589,4.64168e+06,11
291979,4.64361e+06,12
273658,4.63066e+06,12
294251,4.65071e+06,12
294130,4.64742e+06,12
293412,4.64293e+06,12
294146,4.64743e+06,12
293707,4.64536e+06,12
292518,4.64383e+06,12
294264,4.65074e+06,12
294429,4.64749e+06,12
294935,4.646e+06,12
294227,4.64728e+06,12
293494,4.64535e+06,12
294920,4.64844e+06,12
294335,4.64886e+06,12
294474,4.64546e+06,12
291367,4.64271e+06,12
291711,4.64281e+06,12
292326,4.64365e+06,12
290094,4.64089e+06,7
291230,4.64227e+06,11
291730,4.64215e+06,12
290756,4.64292e+06,12
291036,4.64043e+06,7
291836,4.64255e+06,12
292686,4.64182e+06,12
290997,4.6407e+06,7
291751,4.64167e+06,12
291682,4.65654e+06,12
288601,4.6398e+06,12
289939,4.6344e+06,12
291686,4.64217e+06,12
290450,4.64281e+06,12
290453,4.6417e+06,7
289962,4.64707e+06,12
282604,4.63597e+06,12
292159,4.64171e+06,12
287645,4.6414e+06,12
292832,4.64221e+06,12
290195,4.64337e+06,12
290372,4.64141e+06,7
292310,4.64211e+06,12
290493,4.64139e+06,7
290541,4.64282e+06,12
296704,4.63479e+06,12
291218,4.64227e+06,12
291358,4.64418e+06,12
292382,4.64194e+06,12
290695,4.64306e+06,12
291006,4.64185e+06,9
282473,4.63644e+06,12
297219,4.63096e+06,12
291995,4.64372e+06,12
292102,4.6432e+06,12
285335,4.64085e+06,12
290383,4.6342e+06,12
290382,4.64182e+06,7
280042,4.63261e+06,12
289947,4.63439e+06,12
271700,4.63073e+06,12
289911,4.63423e+06,12
292675,4.6418e+06,12
290300,4.64195e+06,8
288103,4.6377e+06,12
289939,4.6344e+06,12
290376,4.64321e+06,12
292525,4.64291e+06,12
281883,4.63278e+06,12
289697,4.64109e+06,7
289944,4.63439e+06,12
291998,4.64371e+06,12
283073,4.63379e+06,12
287932,4.64569e+06,12
290694,4.64056e+06,7
290919,4.64265e+06,11
291582,4.64139e+06,11
286044,4.64425e+06,12
292279,4.64233e+06,12
289372,4.64051e+06,7
292193,4.64168e+06,12
291410,4.64204e+06,11
290093,4.63718e+06,12
294995,4.64869e+06,12
291113,4.64122e+06,8
293024,4.6433e+06,12
291088,4.64157e+06,9
291996,4.64299e+06,12
289389,4.64175e+06,7
290472,4.64138e+06,7
292525,4.64281e+06,12
290521,4.64086e+06,7
289314,4.63432e+06,12
281177,4.63272e+06,12
289899,4.63927e+06,10
292259,4.64189e+06,12
292080,4.63662e+06,12
292599,4.64198e+06,12
290615,4.64292e+06,12
291178,4.64128e+06,8
289600,4.64205e+06,9
291567,4.64479e+06,12
308072,4.65285e+06,12
290699,4.64131e+06,7
293260,4.64267e+06,12
290670,4.64275e+06,12
290198,4.63662e+06,12
291062,4.64403e+06,12
290247,4.64023e+06,7
292774,4.64167e+06,12
289856,4.63559e+06,12
292006,4.64371e+06,12
292071,4.6442e+06,12
291936,4.64074e+06,12
293048,4.64264e+06,12
292537,4.64292e+06,12
290866,4.64228e+06,10
290038,4.63996e+06,7
290438,4.64294e+06,12
289863,4.64171e+06,7
291163,4.64468e+06,12
291632,4.64392e+06,12
292900,4.64221e+06,12
290911,4.64216e+06,10
289683,4.64716e+06,12
291180,4.64132e+06,9
291575,4.64208e+06,12
292498,4.64302e+06,12
291748,4.64033e+06,12
286664,4.64578e+06,12
291994,4.64372e+06,12
296711,4.63534e+06,12
290328,4.6459e+06,12
289215,4.64253e+06,9
292987,4.63784e+06,12
291995,4.64371e+06,12
291995,4.64372e+06,12
291021,4.64401e+06,12
291084,4.64404e+06,12
292874,4.64283e+06,12
287538,4.63427e+06,12
279468,4.63257e+06,12
284997,4.63354e+06,12
285649,4.63342e+06,12
290475,4.64139e+06,7
285907,4.63434e+06,12
290957,4.64203e+06,10
289942,4.63437e+06,12
289996,4.64391e+06,12
291038,4.64401e+06,12
292910,4.64287e+06,12
291030,4.63607e+06,12
290394,4.64404e+06,12
291400,4.64138e+06,10
291036,4.644e+06,12
292091,4.64214e+06,12
273709,4.63063e+06,12
288388,4.64277e+06,12
291069,4.64405e+06,12
291065,4.64405e+06,12
290763,4.64119e+06,7
290162,4.64147e+06,7
292353,4.64149e+06,12
273687,4.63064e+06,12
291668,4.64236e+06,11
289557,4.63453e+06,12
288561,4.63299e+06,12
288185,4.64392e+06,12
288749,4.63575e+06,12
290025,4.63991e+06,8
289455,4.635e+06,12
291174,4.64197e+06,10
287181,4.63258e+06,12
292098,4.6406e+06,12
299859,4.63793e+06,12
295419,4.63836e+06,12
290299,4.63629e+06,12
291317,4.64199e+06,11
293320,4.64027e+06,12
293391,4.63987e+06,12
293413,4.64327e+06,12
293082,4.64262e+06,12
288047,4.6385e+06,12
290968,4.64137e+06,8
290513,4.64274e+06,12
292120,4.64294e+06,12
291250,4.64124e+06,10
291246,4.64227e+06,11
291240,4.64129e+06,10
291235,4.64228e+06,11
291841,4.64075e+06,10
293012,4.64024e+06,12
292310,4.64205e+06,12
291236,4.64129e+06,10
290008,4.64238e+06,10
291894,4.64285e+06,12
292785,4.64071e+06,12
292749,4.64228e+06,12
289317,4.63508e+06,12
293527,4.63991e+06,12
302696,4.63146e+06,12
288306,4.64438e+06,12
299742,4.63007e+06,12
289947,4.6344e+06,12
289346,4.63431e+06,12
285689,4.63349e+06,12
291016,4.64182e+06,9
291750,4.63971e+06,12
290553,4.6423e+06,10
291020,4.64402e+06,12
292883,4.64124e+06,12
290303,4.63631e+06,12
290712,4.64416e+06,12
288751,4.6432e+06,12
291568,4.63654e+06,12
289808,4.6424e+06,9
290753,4.64289e+06,12
290163,4.64148e+06,7
291700,4.64213e+06,12
290629,4.6423e+06,8
291681,4.64212e+06,12
291727,4.64215e+06,12
291189,4.64129e+06,9
289628,4.64195e+06,8
291955,4.64362e+06,12
273697,4.63063e+06,12
291842,4.64253e+06,12
288491,4.64304e+06,12
292420,4.64103e+06,12
292636,4.64178e+06,12
286698,4.64512e+06,12
291396,4.64618e+06,12
291689,4.64212e+06,12
290623,4.64134e+06,7
292784,4.64276e+06,12
291492,4.64202e+06,10
291450,4.64131e+06,10
291707,4.64213e+06,12
291057,4.64405e+06,12
291582,4.642e+06,11
272295,4.62967e+06,12
291871,4.64257e+06,12
291883,4.64166e+06,12
