x,y,SF
290098,4.6424e+06,9
290997,4.64317e+06,12
290446,4.64403e+06,12
290690,4.6413e+06,7
290403,4.64386e+06,12
291111,4.64195e+06,10
291443,4.64447e+06,12
274704,4.63097e+06,12
291988,4.64371e+06,12
291827,4.64197e+06,12
273562,4.63016e+06,12
291008,4.64182e+06,10
290734,4.64228e+06,10
290839,4.64227e+06,10
291353,4.64314e+06,12
293000,4.64259e+06,12
291197,4.64129e+06,8
291140,4.64248e+06,12
291184,4.64132e+06,8
290380,4.6418e+06,8
291861,4.64256e+06,12
289167,4.64253e+06,11
287382,4.6416e+06,12
291874,4.64164e+06,12
293316,4.64269e+06,12
292674,4.64179e+06,12
291130,4.64131e+06,8
290934,4.64314e+06,12
289950,4.6344e+06,12
290793,4.64175e+06,9
290952,4.64204e+06,8
291692,4.63886e+06,12
292165,4.64187e+06,12
290450,4.64137e+06,7
294134,4.64742e+06,12
291062,4.64341e+06,12
290072,4.64152e+06,7
292743,4.64189e+06,12
292229,4.63714e+06,12
290978,4.64439e+06,12
289955,4.63442e+06,12
291012,4.64195e+06,10
292723,4.64185e+06,12
289794,4.6424e+06,8
288828,4.64273e+06,12
290862,4.63853e+06,12
271700,4.63074e+06,12
292061,4.64179e+06,12
290354,4.64181e+06,8
291070,4.64199e+06,10
286087,4.64061e+06,12
290798,4.64215e+06,10
290563,4.64302e+06,12
290471,4.64148e+06,7
290362,4.64179e+06,8
295451,4.63974e+06,12
292632,4.64177e+06,12
290668,4.64229e+06,9
291014,4.644e+06,12
291388,4.63852e+06,12
290186,4.63479e+06,12
292517,4.64292e+06,12
290378,4.6414e+06,7
286594,4.63447e+06,12
289942,4.63439e+06,12
299790,4.6303e+06,12
291977,4.64371e+06,12
292089,4.64177e+06,12
291042,4.64174e+06,10
292317,4.64204e+06,12
292309,4.64205e+06,12
292728,4.64229e+06,12
272069,4.63033e+06,12
292322,4.64204e+06,12
290132,4.64333e+06,12
291021,4.64402e+06,12
293242,4.6402e+06,12
291070,4.64404e+06,12
290366,4.64182e+06,8
291617,4.64212e+06,11
295628,4.64556e+06,12
298998,4.64755e+06,12
302732,4.64893e+06,12
295614,4.64555e+06,12
298550,4.64695e+06,12
290822,4.64627e+06,12
299386,4.64787e+06,12
306428,4.65156e+06,12
307579,4.65357e+06,12
290901,4.63737e+06,12
293528,4.64468e+06,12
273614,4.6302e+06,12
291993,4.64369e+06,12
276166,4.632e+06,12
271673,4.63067e+06,12
291248,4.64127e+06,9
288840,4.63193e+06,12
273656,4.63069e+06,12
290715,4.64131e+06,7
288951,4.64297e+06,12
271561,4.63061e+06,12
271602,4.63062e+06,12
290695,4.6413e+06,7
292739,4.64186e+06,12
289943,4.63439e+06,12
286157,4.63453e+06,12
290250,4.63496e+06,12
274404,4.63082e+06,12
291766,4.64263e+06,12
287616,4.64205e+06,12
273690,4.63065e+06,12
289593,4.64355e+06,12
291677,4.64221e+06,12
292684,4.64368e+06,12
291050,4.64402e+06,12
289958,4.63441e+06,12
289936,4.63439e+06,12
291887,4.64255e+06,12
291105,4.64106e+06,8
291920,4.64256e+06,12
289333,4.6343e+06,12
290712,4.64229e+06,10
292532,4.64292e+06,12
292628,4.64177e+06,12
290895,4.63871e+06,12
290871,4.64228e+06,9
289071,4.64182e+06,8
290743,4.64285e+06,12
289324,4.63431e+06,12
289317,4.63432e+06,12
290565,4.64136e+06,7
290444,4.64234e+06,10
290705,4.6413e+06,7
290861,4.64118e+06,7
292609,4.64243e+06,12
291030,4.64113e+06,8
291244,4.63957e+06,11
292104,4.63662e+06,12
292011,4.64371e+06,12
296352,4.64945e+06,12
305514,4.65001e+06,12
302081,4.64921e+06,12
305778,4.65032e+06,12
302407,4.64935e+06,12
293550,4.63988e+06,12
290963,4.64393e+06,12
289728,4.63413e+06,12
289949,4.6344e+06,12
278830,4.6325e+06,12
282594,4.63283e+06,12
290910,4.64288e+06,12
289340,4.63431e+06,12
271682,4.63072e+06,12
292535,4.64292e+06,12
294392,4.64428e+06,12
288265,4.64297e+06,12
292115,4.64174e+06,12
290765,4.64142e+06,7
290911,4.64118e+06,7
294031,4.63694e+06,12
290698,4.6413e+06,7
290661,4.6376e+06,12
292002,4.64372e+06,12
295759,4.6415e+06,7
294479,4.63954e+06,12
290210,4.64241e+06,9
291915,4.64166e+06,12
289734,4.64185e+06,7
291995,4.6437e+06,12
292740,4.6419e+06,12
289695,4.63934e+06,11
289957,4.63441e+06,12
293520,4.64457e+06,12
292006,4.64371e+06,12
291228,4.64041e+06,8
291991,4.64371e+06,12
286774,4.64131e+06,12
291014,4.64403e+06,12
271996,4.62996e+06,12
274600,4.6301e+06,12
291819,4.64253e+06,12
291188,4.64413e+06,12
273686,4.63062e+06,12
290268,4.64203e+06,7
293614,4.64191e+06,11
273709,4.63063e+06,12
290381,4.6418e+06,8
292840,4.64427e+06,12
289990,4.63539e+06,12
293437,4.64498e+06,12
293279,4.64999e+06,12
292272,4.65255e+06,12
293017,4.64232e+06,12
289792,4.6424e+06,8
292726,4.64185e+06,12
273690,4.63064e+06,12
291174,4.64139e+06,8
290901,4.63875e+06,12
273690,4.63063e+06,12
289975,4.6344e+06,12
273700,4.63063e+06,12
274053,4.6305e+06,12
274780,4.63104e+06,12
292067,4.64179e+06,12
271580,4.63063e+06,12
273676,4.63062e+06,12
293246,4.64021e+06,12
293261,4.6395e+06,12
292328,4.63961e+06,12
293280,4.6395e+06,12
292097,4.63924e+06,12
291082,4.64403e+06,12
288977,4.64299e+06,12
293262,4.63949e+06,12
298084,4.64337e+06,12
289795,4.63395e+06,12
291190,4.64186e+06,9
272744,4.62968e+06,12
291273,4.64121e+06,9
290662,4.64129e+06,7
292355,4.64281e+06,12
292512,4.63992e+06,12
291604,4.6421e+06,11
289997,4.64271e+06,10
290194,4.63677e+06,12
288976,4.64298e+06,12
291001,4.64398e+06,12
291666,4.64211e+06,11
285511,4.64789e+06,12
292267,4.64389e+06,12
295873,4.64367e+06,10
289797,4.63853e+06,12
290471,4.64063e+06,7
294958,4.64715e+06,12
291343,4.63996e+06,10
294164,4.63916e+06,12
290539,4.64231e+06,10
282661,4.63284e+06,12
288736,4.63405e+06,12
273699,4.63062e+06,12
291124,4.6412e+06,7
291682,4.64211e+06,11
291859,4.64255e+06,12
291830,4.64254e+06,12
291062,4.64403e+06,12
291713,4.64213e+06,11
278316,4.62812e+06,12
292664,4.64183e+06,12
290807,4.64281e+06,11
291041,4.64047e+06,9
296471,4.63466e+06,12
294548,4.64135e+06,7
301473,4.64339e+06,12
298974,4.6425e+06,12
295831,4.64255e+06,7
300609,4.64298e+06,12
290376,4.6414e+06,7
294061,4.64165e+06,10
292675,4.64369e+06,12
294229,4.63961e+06,12
292294,4.64335e+06,12
292082,4.64052e+06,11
293252,4.6431e+06,12
292039,4.64399e+06,12
299015,4.64252e+06,12
283701,4.64019e+06,12
291678,4.64211e+06,11
291669,4.64211e+06,11
291679,4.64212e+06,11
290429,4.64284e+06,12
291053,4.64049e+06,9
291874,4.64165e+06,12
273697,4.63063e+06,12
290742,4.64154e+06,7
291877,4.64164e+06,12
293086,4.63885e+06,12
291859,4.64254e+06,12
291129,4.6414e+06,8
291245,4.64124e+06,9
291025,4.64401e+06,12
291897,4.64165e+06,12
295227,4.64267e+06,8
293845,4.64016e+06,10
292023,4.6428e+06,12
290722,4.64223e+06,9
289496,4.64482e+06,12
292056,4.64168e+06,11
291085,4.64157e+06,8
291692,4.64213e+06,11
291551,4.64136e+06,10
291726,4.64215e+06,12
290344,4.64038e+06,7
291127,4.64137e+06,8
289693,4.64137e+06,7
291066,4.64193e+06,9
289839,4.63412e+06,12
291673,4.64146e+06,12
290477,4.64094e+06,7
292514,4.6419e+06,12
293172,4.64317e+06,12
291208,4.64198e+06,10
290117,4.64127e+06,7
292506,4.64303e+06,12
290896,4.64225e+06,9
292501,4.64055e+06,12
290215,4.64123e+06,7
291748,4.64028e+06,11
291007,4.63864e+06,12
291678,4.64223e+06,12
290347,4.64136e+06,7
293431,4.64091e+06,12
290270,4.64129e+06,7
290009,4.63993e+06,7
290283,4.6413e+06,7
290212,4.64122e+06,7
290151,4.64338e+06,12
290319,4.64365e+06,12
290358,4.6418e+06,8
291650,4.64278e+06,12
291062,4.64168e+06,9
290100,4.64089e+06,7
292326,4.64205e+06,12
289918,4.64089e+06,7
290251,4.64031e+06,7
295127,4.64275e+06,9
295509,4.64246e+06,7
289792,4.63542e+06,12
281567,4.63274e+06,12
290739,4.6429e+06,12
290235,4.64279e+06,10
263032,4.64476e+06,12
293432,4.64608e+06,12
290179,4.64243e+06,9
292731,4.64184e+06,12
289091,4.63496e+06,12
289292,4.63432e+06,12
291698,4.64216e+06,11
290765,4.64293e+06,12
290842,4.64227e+06,10
292771,4.64202e+06,12
292750,4.64202e+06,12
290959,4.64195e+06,8
289471,4.64361e+06,12
296696,4.63466e+06,12
292772,4.64199e+06,12
299737,4.63005e+06,12
299737,4.63004e+06,12
299649,4.63008e+06,12
292735,4.64127e+06,12
292332,4.63721e+06,12
290391,4.63514e+06,12
291039,4.63921e+06,12
275057,4.63121e+06,12
293785,4.6396e+06,12
301599,4.6325e+06,12
291284,4.63627e+06,12
290790,4.63153e+06,12
292328,4.63759e+06,12
290843,4.6353e+06,12
292650,4.64176e+06,12
292883,4.63711e+06,12
291031,4.64192e+06,9
291836,4.64247e+06,12
289044,4.64142e+06,7
291198,4.64195e+06,10
293430,4.64272e+06,12
290397,4.6418e+06,8
291761,4.64284e+06,12
291479,4.64206e+06,10
291149,4.64194e+06,9
290199,4.645e+06,12
290798,4.64228e+06,9
291631,4.64248e+06,12
292169,4.64465e+06,12
290378,4.6418e+06,8
274465,4.63081e+06,12
283419,4.63292e+06,12
291827,4.64191e+06,12
289466,4.64174e+06,7
279276,4.63254e+06,12
290090,4.64091e+06,7
292311,4.64205e+06,12
290487,4.64063e+06,7
289728,4.64185e+06,7
289296,4.64247e+06,12
291010,4.63905e+06,12
299838,4.63025e+06,12
293236,4.64021e+06,12
289767,4.63919e+06,9
273746,4.63065e+06,12
294100,4.6439e+06,12
286705,4.64514e+06,12
292485,4.64191e+06,12
302201,4.64545e+06,12
291893,4.64384e+06,12
290149,4.64359e+06,12
290484,4.64139e+06,7
290518,4.64465e+06,12
289020,4.64187e+06,9
278354,4.63247e+06,12
291648,4.64283e+06,12
291068,4.64199e+06,10
291154,4.64238e+06,12
290343,4.64186e+06,7
290675,4.6413e+06,7
291919,4.64258e+06,12
292588,4.64301e+06,12
292465,4.64138e+06,12
292463,4.64138e+06,12
292630,4.64177e+06,12
291713,4.64218e+06,12
291787,4.64156e+06,10
290396,4.64181e+06,8
290913,4.63881e+06,12
294383,4.64308e+06,11
291233,4.64124e+06,9
289560,4.64332e+06,12
289173,4.64251e+06,11
273707,4.63064e+06,12
299739,4.63007e+06,12
294456,4.63884e+06,12
292099,4.64277e+06,12
287564,4.64402e+06,12
289608,4.64353e+06,12
293382,4.64007e+06,12
292325,4.64205e+06,12
287268,4.64402e+06,12
292313,4.64205e+06,12
292338,4.64358e+06,12
286698,4.6417e+06,12
292930,4.64289e+06,12
291556,4.64107e+06,10
291746,4.65656e+06,12
293711,4.64536e+06,12
290558,4.64227e+06,12
291666,4.64211e+06,11
293067,4.64029e+06,12
287912,4.64399e+06,12
291038,4.64169e+06,9
278505,4.63196e+06,12
289429,4.63875e+06,12
292059,4.64114e+06,12
294963,4.64271e+06,8
298087,4.63932e+06,12
287993,4.64917e+06,12
289473,4.64548e+06,12
291040,4.64045e+06,9
289949,4.63442e+06,12
291792,4.64103e+06,11
288007,4.64336e+06,12
298382,4.63181e+06,12
292076,4.64051e+06,12
288573,4.64168e+06,11
291070,4.64406e+06,12
293234,4.64046e+06,12
293611,4.64194e+06,11
293313,4.64429e+06,12
291044,4.6303e+06,12
273026,4.62986e+06,12
292529,4.64176e+06,12
290068,4.63875e+06,12
283166,4.63011e+06,12
290806,4.63795e+06,12
291139,4.64247e+06,12
290090,4.6424e+06,9
302417,4.63884e+06,12
290353,4.64141e+06,7
295029,4.64515e+06,12
300839,4.64684e+06,12
294713,4.64466e+06,12
293327,4.64322e+06,12
295880,4.6456e+06,12
297672,4.64643e+06,12
295740,4.64551e+06,12
295703,4.64551e+06,12
294962,4.64506e+06,12
294763,4.64473e+06,12
298506,4.64646e+06,12
295471,4.64549e+06,12
292943,4.64288e+06,12
295894,4.64561e+06,12
296456,4.64109e+06,7
293471,4.64335e+06,12
298040,4.64461e+06,12
298804,4.64619e+06,12
292034,4.6437e+06,12
291826,4.64252e+06,12
293426,4.64242e+06,12
293439,4.6424e+06,12
295704,4.64166e+06,7
293433,4.64243e+06,12
295637,4.6419e+06,7
293403,4.6425e+06,12
290179,4.64483e+06,12
291989,4.64371e+06,12
293439,4.64241e+06,12
294294,4.64205e+06,10
293433,4.64243e+06,12
293696,4.64088e+06,12
295321,4.64076e+06,7
297695,4.63962e+06,12
291991,4.64371e+06,12
298696,4.64723e+06,12
289952,4.6344e+06,12
273695,4.63063e+06,12
271962,4.63061e+06,12
291991,4.64371e+06,12
290137,4.6445e+06,12
293317,4.64428e+06,12
292540,4.64387e+06,12
292479,4.64352e+06,12
289930,4.64632e+06,12
291266,4.64121e+06,9
275830,4.63174e+06,12
291062,4.64406e+06,12
292395,4.64304e+06,12
291658,4.64089e+06,11
292745,4.64207e+06,12
