x,y,SF
289573,4.63775e+06,12
290332,4.64188e+06,9
290339,4.64184e+06,8
290346,4.64182e+06,7
293421,4.64479e+06,12
290670,4.6413e+06,7
292921,4.64038e+06,12
290872,4.64226e+06,9
294543,4.64368e+06,12
292436,4.64244e+06,12
291394,4.64203e+06,10
290843,4.64227e+06,9
290859,4.64226e+06,9
290856,4.64226e+06,9
296029,4.6392e+06,12
287155,4.64082e+06,12
288591,4.64287e+06,12
287253,4.64156e+06,12
291514,4.64134e+06,9
292670,4.6418e+06,12
291027,4.64114e+06,7
291967,4.6437e+06,12
291241,4.6413e+06,9
290379,4.6418e+06,7
290406,4.6418e+06,7
289765,4.63956e+06,8
291426,4.64426e+06,12
294390,4.64321e+06,12
290497,4.6414e+06,7
291248,4.64127e+06,8
290470,4.64062e+06,7
289313,4.63977e+06,9
291066,4.64193e+06,10
291029,4.64112e+06,7
291232,4.64125e+06,8
291120,4.63862e+06,12
291626,4.64463e+06,12
290408,4.64181e+06,7
291243,4.64125e+06,8
290272,4.64203e+06,7
290924,4.6412e+06,8
291243,4.64125e+06,8
294642,4.6426e+06,9
290352,4.64137e+06,7
290379,4.64183e+06,7
291262,4.64227e+06,12
291074,4.64206e+06,9
291820,4.64255e+06,12
294192,4.65071e+06,12
288720,4.65089e+06,12
294261,4.65072e+06,12
294004,4.65112e+06,12
291040,4.64193e+06,10
293919,4.64087e+06,12
272405,4.62973e+06,12
293854,4.64003e+06,12
291176,4.64266e+06,12
291028,4.64177e+06,9
291210,4.63782e+06,12
289232,4.64251e+06,12
273678,4.63064e+06,12
292408,4.64219e+06,12
290676,4.64299e+06,12
288535,4.63329e+06,12
296431,4.64576e+06,12
290091,4.64091e+06,7
290080,4.64092e+06,7
294166,4.64309e+06,11
290101,4.64089e+06,7
289775,4.63853e+06,12
290086,4.6409e+06,7
291236,4.64128e+06,8
290439,4.64384e+06,12
291243,4.64418e+06,12
291409,4.64137e+06,9
291511,4.64413e+06,12
292834,4.64051e+06,12
290275,4.64129e+06,7
290460,4.6454e+06,12
290746,4.64288e+06,12
286699,4.64171e+06,12
292682,4.64179e+06,12
291875,4.64257e+06,12
291957,4.64394e+06,12
291987,4.64369e+06,12
291024,4.64195e+06,8
291070,4.64163e+06,9
273689,4.63063e+06,12
290063,4.64093e+06,7
289961,4.64302e+06,10
289204,4.64251e+06,12
295221,4.64251e+06,7
295588,4.64556e+06,12
292686,4.64181e+06,12
290049,4.64094e+06,7
288381,4.64277e+06,12
290964,4.64132e+06,9
289229,4.64208e+06,9
292074,4.64117e+06,12
290083,4.64091e+06,7
288808,4.6418e+06,10
288386,4.64278e+06,12
286713,4.6417e+06,12
279516,4.62919e+06,12
292814,4.64132e+06,12
292717,4.64183e+06,12
288984,4.64182e+06,9
292819,4.63794e+06,12
291304,4.63633e+06,12
292772,4.64199e+06,12
280227,4.62899e+06,12
291038,4.64048e+06,9
283899,4.64146e+06,12
287071,4.63294e+06,12
291853,4.64256e+06,12
299785,4.63031e+06,12
290057,4.63461e+06,12
291248,4.64139e+06,10
299734,4.63007e+06,12
292363,4.64153e+06,12
291914,4.64257e+06,12
290938,4.64207e+06,8
300684,4.64274e+06,12
289326,4.63432e+06,12
290670,4.64129e+06,7
291723,4.64216e+06,12
294905,4.64838e+06,12
291850,4.64255e+06,12
290746,4.64288e+06,12
293817,4.64421e+06,12
291240,4.64125e+06,8
291237,4.64128e+06,8
290366,4.64141e+06,7
290965,4.6391e+06,12
291167,4.63894e+06,12
291748,4.63949e+06,12
271795,4.63033e+06,12
294791,4.6358e+06,12
291036,4.64045e+06,9
295297,4.63847e+06,12
293493,4.64087e+06,12
290693,4.6413e+06,7
290077,4.64092e+06,7
290072,4.64093e+06,7
290994,4.64043e+06,8
292477,4.64189e+06,12
291664,4.64225e+06,12
290944,4.64206e+06,8
296246,4.64157e+06,7
299716,4.64511e+06,12
290107,4.6424e+06,9
291353,4.64237e+06,12
290155,4.64078e+06,7
290095,4.64238e+06,10
288481,4.64243e+06,11
290038,4.64129e+06,7
291026,4.64195e+06,8
291983,4.64163e+06,12
291789,4.64282e+06,12
290767,4.64491e+06,12
294541,4.64676e+06,12
271551,4.63062e+06,12
290667,4.64307e+06,12
292531,4.64292e+06,12
285811,4.64326e+06,12
295935,4.64951e+06,12
289889,4.63817e+06,12
292058,4.64367e+06,12
289213,4.64224e+06,9
291990,4.64372e+06,12
293419,4.64395e+06,12
291981,4.64372e+06,12
295816,4.64412e+06,12
292299,4.64217e+06,12
289167,4.64346e+06,12
290493,4.64064e+06,7
273632,4.63113e+06,12
291027,4.64367e+06,12
293657,4.63975e+06,12
291560,4.6421e+06,12
291940,4.64259e+06,12
291878,4.64256e+06,12
291056,4.64403e+06,12
290277,4.64659e+06,12
292337,4.62874e+06,12
294962,4.64287e+06,9
290674,4.64129e+06,7
290765,4.63581e+06,12
291516,4.64135e+06,9
291040,4.64401e+06,12
271809,4.63066e+06,12
289946,4.63439e+06,12
271612,4.63067e+06,12
273702,4.63064e+06,12
291986,4.64369e+06,12
290415,4.6418e+06,7
281295,4.63272e+06,12
291627,4.64459e+06,12
293685,4.64572e+06,12
292515,4.64279e+06,12
291705,4.64432e+06,12
286374,4.64068e+06,12
292506,4.64168e+06,12
299119,4.63301e+06,12
290775,4.6415e+06,8
292405,4.63736e+06,12
293407,4.64001e+06,12
291186,4.64131e+06,10
295184,4.63776e+06,12
300430,4.63383e+06,12
294615,4.64528e+06,12
293909,4.64078e+06,12
290475,4.64063e+06,7
291731,4.64215e+06,12
298359,4.63701e+06,12
289456,4.64266e+06,11
287652,4.64652e+06,12
