x,y,SF
291381,4.64142e+06,9
271557,4.62942e+06,12
292116,4.64379e+06,12
291197,4.6413e+06,10
290357,4.64145e+06,7
286767,4.64174e+06,12
290111,4.64127e+06,7
289922,4.64153e+06,7
290345,4.64218e+06,9
289142,4.64041e+06,7
290591,4.64481e+06,12
290362,4.64181e+06,8
289240,4.64413e+06,12
289658,4.64172e+06,7
290273,4.64202e+06,8
292704,4.64179e+06,12
290415,4.64181e+06,8
290372,4.64144e+06,7
291225,4.63807e+06,12
287772,4.64145e+06,12
291752,4.64215e+06,12
292255,4.64195e+06,12
290633,4.64133e+06,7
293060,4.64333e+06,12
291194,4.6413e+06,10
291203,4.64132e+06,11
291247,4.64016e+06,10
291219,4.64129e+06,11
290372,4.64181e+06,8
289293,4.63141e+06,12
273507,4.63017e+06,12
241933,4.65944e+06,12
292856,4.63958e+06,12
297531,4.64517e+06,12
290733,4.6429e+06,12
294784,4.6451e+06,12
290695,4.6413e+06,7
290371,4.64181e+06,8
290677,4.6413e+06,7
291627,4.64099e+06,11
290075,4.64093e+06,7
290941,4.64201e+06,10
290304,4.6428e+06,12
291422,4.64204e+06,10
291026,4.64178e+06,9
290437,4.64069e+06,7
290654,4.64132e+06,7
288903,4.64297e+06,12
291833,4.64244e+06,12
292691,4.64183e+06,12
289952,4.64147e+06,7
290394,4.64204e+06,8
290688,4.64131e+06,7
292668,4.64181e+06,12
292868,4.64425e+06,12
301205,4.63821e+06,12
286220,4.63077e+06,12
290684,4.6413e+06,7
289781,4.64012e+06,7
292510,4.64166e+06,12
289682,4.64207e+06,8
291720,4.64282e+06,12
291139,4.64137e+06,10
290171,4.64495e+06,12
289683,4.64184e+06,7
291043,4.64114e+06,7
286072,4.63448e+06,12
291039,4.64174e+06,9
292471,4.64057e+06,12
289183,4.64253e+06,11
290049,4.64096e+06,7
291789,4.64282e+06,12
294387,4.64308e+06,11
295020,4.64253e+06,7
289811,4.64136e+06,7
290683,4.6413e+06,7
290249,4.64125e+06,7
289214,4.64305e+06,12
290169,4.63781e+06,12
291495,4.6365e+06,12
292625,4.64199e+06,12
290622,4.64161e+06,7
306027,4.65072e+06,12
288366,4.63869e+06,12
291829,4.64241e+06,12
291077,4.64053e+06,8
302237,4.64207e+06,12
290249,4.64075e+06,7
289935,4.64029e+06,7
295145,4.63863e+06,12
290477,4.6414e+06,7
290796,4.64385e+06,12
290408,4.6418e+06,8
290149,4.64242e+06,8
288566,4.64266e+06,12
292882,4.64425e+06,12
291170,4.64129e+06,10
295143,4.64271e+06,7
290072,4.64152e+06,7
291827,4.64253e+06,12
286438,4.64217e+06,12
283681,4.63236e+06,12
290302,4.64033e+06,7
299780,4.63029e+06,12
291164,4.64411e+06,12
290928,4.639e+06,12
292320,4.63765e+06,12
290127,4.64082e+06,7
286720,4.64171e+06,12
291040,4.64193e+06,9
292618,4.64116e+06,12
290465,4.64152e+06,7
295789,4.63663e+06,12
292277,4.63884e+06,12
296861,4.63739e+06,12
292522,4.64292e+06,12
294658,4.63858e+06,12
290583,4.63679e+06,12
291715,4.64213e+06,12
290106,4.64089e+06,7
290679,4.64131e+06,7
288877,4.64183e+06,8
291529,4.64097e+06,10
292175,4.64296e+06,12
291059,4.64242e+06,11
291431,4.64204e+06,10
288192,4.64258e+06,12
290450,4.64065e+06,7
290456,4.64251e+06,11
290583,4.64234e+06,9
291638,4.64212e+06,12
292883,4.64015e+06,12
293709,4.64535e+06,12
290068,4.64154e+06,7
290897,4.64382e+06,12
297838,4.63284e+06,12
291368,4.64141e+06,9
293859,4.64288e+06,12
290557,4.64227e+06,9
290270,4.64199e+06,8
291099,4.64106e+06,7
291773,4.64282e+06,12
284878,4.64882e+06,12
288518,4.64281e+06,12
292908,4.64286e+06,12
290882,4.64235e+06,10
289443,4.64313e+06,12
290492,4.64064e+06,7
291628,4.64462e+06,12
291465,4.64222e+06,12
289329,4.64003e+06,8
290041,4.64154e+06,7
289765,4.6388e+06,11
291705,4.64212e+06,12
294057,4.64164e+06,10
290171,4.64339e+06,12
291599,4.64215e+06,12
292652,4.64183e+06,12
290351,4.64144e+06,7
290486,4.64087e+06,7
291830,4.64255e+06,12
292652,4.64113e+06,12
292017,4.64207e+06,12
290553,4.64225e+06,9
290367,4.63613e+06,12
290682,4.6413e+06,7
290481,4.64063e+06,7
273646,4.63113e+06,12
291621,4.64423e+06,12
292430,4.64346e+06,12
290463,4.64137e+06,7
290473,4.64071e+06,7
290489,4.64063e+06,7
290491,4.64064e+06,7
291235,4.64227e+06,12
294833,4.64319e+06,10
293034,4.63663e+06,12
291967,4.64394e+06,12
292013,4.63965e+06,12
291218,4.63396e+06,12
291588,4.64457e+06,12
290228,4.64239e+06,8
290305,4.64199e+06,8
290398,4.6407e+06,7
292185,4.63948e+06,12
292515,4.64281e+06,12
290965,4.64076e+06,7
289762,4.6419e+06,7
293848,4.64154e+06,10
291492,4.64132e+06,11
289916,4.64409e+06,12
291717,4.64276e+06,12
290579,4.63894e+06,12
289828,4.63836e+06,12
291075,4.64194e+06,10
291719,4.64277e+06,12
291714,4.64277e+06,12
288748,4.64158e+06,10
290486,4.64074e+06,7
292520,4.64292e+06,12
288932,4.63309e+06,12
289179,4.64253e+06,11
291001,4.64189e+06,10
293025,4.64261e+06,12
292679,4.6418e+06,12
292293,4.6423e+06,12
291750,4.64264e+06,12
289859,4.63901e+06,10
290482,4.64183e+06,8
290088,4.6409e+06,7
290032,4.64098e+06,7
289727,4.64185e+06,7
287302,4.63942e+06,12
289489,4.64175e+06,7
291201,4.63955e+06,11
290867,4.64227e+06,10
290373,4.64071e+06,7
291563,4.64209e+06,12
291724,4.64216e+06,12
291729,4.64215e+06,12
291271,4.64225e+06,12
290055,4.64096e+06,7
291683,4.64086e+06,11
291249,4.64128e+06,11
291226,4.6413e+06,9
290920,4.64122e+06,7
291044,4.63914e+06,10
294381,4.64308e+06,11
291697,4.64212e+06,12
290092,4.64092e+06,7
290059,4.64094e+06,7
292948,4.64197e+06,12
291792,4.64282e+06,12
292492,4.6418e+06,12
290069,4.64238e+06,9
290853,4.64226e+06,10
287601,4.63789e+06,12
289360,4.64037e+06,7
292680,4.6418e+06,12
290084,4.64091e+06,7
290706,4.6376e+06,12
292183,4.64319e+06,12
294355,4.63896e+06,12
290363,4.64183e+06,8
291220,4.64228e+06,10
291217,4.64228e+06,10
291159,4.64168e+06,9
291832,4.64255e+06,12
290917,4.63596e+06,12
293238,4.64021e+06,12
290477,4.64063e+06,7
293206,4.64197e+06,12
291636,4.64235e+06,11
288848,4.64183e+06,8
293308,4.64728e+06,12
287412,4.64121e+06,12
290014,4.64527e+06,12
291435,4.64203e+06,10
293218,4.64312e+06,12
291133,4.64139e+06,10
292209,4.64268e+06,12
289595,4.64356e+06,12
286754,4.64169e+06,12
288131,4.6424e+06,12
292144,4.64171e+06,12
292239,4.63875e+06,12
291457,4.64415e+06,12
290457,4.64159e+06,7
291047,4.64172e+06,8
295918,4.64562e+06,12
288937,4.64279e+06,12
285870,4.64126e+06,12
291844,4.64248e+06,12
290356,4.64066e+06,7
292279,4.64062e+06,12
290061,4.64152e+06,7
291021,4.64196e+06,10
292774,4.64271e+06,12
295161,4.64268e+06,7
292651,4.64203e+06,12
275186,4.63132e+06,12
290677,4.6413e+06,7
290679,4.6413e+06,7
290066,4.64153e+06,7
293412,4.64003e+06,12
290685,4.64129e+06,7
290764,4.63796e+06,12
289645,4.64735e+06,12
290256,4.64455e+06,12
290892,4.64271e+06,12
291780,4.64402e+06,12
292487,4.6419e+06,12
293265,4.63951e+06,12
292176,4.64392e+06,12
292025,4.64263e+06,12
290734,4.6429e+06,12
290046,4.64233e+06,9
291834,4.64243e+06,12
290311,4.64202e+06,8
299020,4.63617e+06,12
290483,4.64063e+06,7
289752,4.63453e+06,12
289966,4.64328e+06,12
289661,4.64141e+06,7
290611,4.64324e+06,12
290486,4.64062e+06,7
291083,4.64157e+06,8
291714,4.64218e+06,12
292348,4.64215e+06,12
290367,4.64144e+06,7
290524,4.63741e+06,12
290478,4.64062e+06,7
290367,4.64144e+06,7
294152,4.63915e+06,12
291733,4.64103e+06,10
290900,4.644e+06,12
290482,4.64061e+06,7
291208,4.64186e+06,8
289675,4.64215e+06,8
292077,4.64366e+06,12
289996,4.63447e+06,12
290453,4.64138e+06,7
290379,4.6418e+06,8
290046,4.64097e+06,7
285948,4.63439e+06,12
290789,4.61829e+06,12
278739,4.62339e+06,12
290689,4.64131e+06,7
290688,4.64131e+06,7
290513,4.64138e+06,7
290387,4.64181e+06,8
289779,4.64256e+06,10
290706,4.6439e+06,12
292547,4.64341e+06,12
291204,4.64126e+06,10
289787,4.64177e+06,8
290692,4.64129e+06,7
290073,4.64091e+06,7
290361,4.64179e+06,7
290465,4.64145e+06,7
290199,4.64423e+06,12
292543,4.64115e+06,12
291499,4.64101e+06,10
290288,4.64128e+06,7
290573,4.64157e+06,7
276238,4.63202e+06,12
291144,4.64122e+06,9
292070,4.63881e+06,12
292103,4.64067e+06,12
291425,4.64442e+06,12
290092,4.64091e+06,7
290485,4.64063e+06,7
291626,4.64463e+06,12
283288,4.63286e+06,12
285824,4.64131e+06,12
291282,4.642e+06,12
290484,4.64062e+06,7
290466,4.64063e+06,7
292900,4.64613e+06,12
290341,4.63915e+06,9
290474,4.64071e+06,7
292138,4.64065e+06,12
290096,4.64091e+06,7
291208,4.64188e+06,8
287113,4.63655e+06,12
289220,4.63801e+06,12
292355,4.63748e+06,12
290090,4.64091e+06,7
291183,4.64187e+06,8
290116,4.64367e+06,12
293921,4.6407e+06,11
292744,4.64143e+06,12
290738,4.643e+06,12
290490,4.6408e+06,7
289937,4.64594e+06,12
291008,4.64185e+06,9
290259,4.63502e+06,12
290547,4.64224e+06,9
290979,4.64376e+06,12
289528,4.64177e+06,7
291327,4.64232e+06,12
290363,4.6418e+06,7
291022,4.64194e+06,9
290366,4.64042e+06,7
291072,4.64478e+06,12
290713,4.64286e+06,12
290368,4.6418e+06,7
290391,4.64182e+06,8
290390,4.64179e+06,7
291018,4.64194e+06,9
291493,4.64243e+06,12
294010,4.64255e+06,12
290170,4.64148e+06,7
291584,4.64424e+06,12
291670,4.6422e+06,12
291660,4.64214e+06,12
291990,4.64082e+06,12
292206,4.64191e+06,12
287219,4.64178e+06,12
291671,4.64214e+06,12
292642,4.64177e+06,12
290593,4.64246e+06,11
292959,4.6403e+06,12
291317,4.64218e+06,12
291224,4.64228e+06,10
289930,4.64588e+06,12
294895,4.64492e+06,12
