x,y,SF
282447,4.63925e+06,12
292712,4.64182e+06,12
290376,4.64145e+06,7
290353,4.64144e+06,7
290378,4.64143e+06,7
290364,4.64144e+06,7
290856,4.6413e+06,7
290349,4.64144e+06,7
290825,4.63937e+06,10
290356,4.64145e+06,7
293530,4.6413e+06,12
294125,4.63961e+06,12
289206,4.64226e+06,10
290377,4.64143e+06,7
290370,4.64144e+06,7
291126,4.64136e+06,9
291029,4.64112e+06,8
291874,4.64255e+06,12
291038,4.64114e+06,8
291825,4.64256e+06,12
291029,4.64114e+06,8
291034,4.64113e+06,8
291038,4.64114e+06,8
294633,4.64472e+06,12
287512,4.64131e+06,12
290873,4.64229e+06,10
286769,4.64461e+06,12
292240,4.64194e+06,12
290142,4.64745e+06,12
291127,4.64116e+06,9
293824,4.64286e+06,12
290920,4.64171e+06,9
291741,4.64183e+06,12
290104,4.6409e+06,7
291026,4.6418e+06,10
288216,4.64433e+06,12
290279,4.64129e+06,7
291043,4.6411e+06,8
290130,4.64105e+06,7
300232,4.64817e+06,12
304474,4.64941e+06,12
290349,4.64037e+06,7
292632,4.6424e+06,12
296456,4.64754e+06,12
297720,4.64322e+06,12
305330,4.64974e+06,12
291692,4.64275e+06,12
293257,4.63946e+06,12
290253,4.64198e+06,8
290054,4.64239e+06,10
290360,4.64145e+06,7
290213,4.64147e+06,7
290368,4.64144e+06,7
291037,4.64114e+06,8
291126,4.64122e+06,9
290052,4.64239e+06,10
295261,4.64076e+06,8
290050,4.6424e+06,10
292434,4.64244e+06,12
293366,4.64006e+06,12
291546,4.64166e+06,11
291727,4.64216e+06,12
289277,4.63875e+06,12
290382,4.63908e+06,12
290677,4.6413e+06,7
292947,4.6403e+06,12
290794,4.64283e+06,12
289673,4.64139e+06,7
295896,4.64368e+06,12
292410,4.63735e+06,12
288194,4.64284e+06,12
292677,4.6418e+06,12
290379,4.63907e+06,12
290851,4.63932e+06,10
290839,4.64568e+06,12
288367,4.64424e+06,12
293337,4.63993e+06,12
286907,4.64563e+06,12
291527,4.6415e+06,11
290455,4.64085e+06,7
299865,4.64081e+06,12
297397,4.64096e+06,10
291009,4.64399e+06,12
287478,4.64128e+06,12
270208,4.62822e+06,12
286491,4.63452e+06,12
290327,4.6463e+06,12
295541,4.64169e+06,7
270205,4.62822e+06,12
270217,4.62822e+06,12
291176,4.6413e+06,9
293844,4.64659e+06,12
276302,4.63208e+06,12
271633,4.63066e+06,12
282667,4.64016e+06,12
293238,4.64037e+06,12
290039,4.64259e+06,11
290993,4.64069e+06,8
290583,4.63183e+06,12
290827,4.6345e+06,12
290482,4.64062e+06,7
292180,4.64339e+06,12
290085,4.64091e+06,7
295258,4.64253e+06,7
290478,4.64501e+06,12
290388,4.64183e+06,7
291046,4.64192e+06,9
291039,4.64192e+06,9
290471,4.64068e+06,7
285319,4.64084e+06,12
289672,4.6414e+06,7
292680,4.64179e+06,12
291704,4.64277e+06,12
289958,4.63566e+06,12
293647,4.64345e+06,12
291069,4.64405e+06,12
290897,4.64314e+06,12
290219,4.6424e+06,10
290056,4.64095e+06,7
291531,4.64098e+06,10
290097,4.6409e+06,7
289846,4.64172e+06,7
296477,4.63763e+06,12
296609,4.63757e+06,12
291494,4.64254e+06,12
291073,4.64194e+06,9
292671,4.64244e+06,12
290574,4.64227e+06,10
291714,4.64276e+06,12
289974,4.64158e+06,7
294915,4.644e+06,12
290398,4.64181e+06,7
290992,4.63907e+06,12
292635,4.64175e+06,12
292055,4.64179e+06,12
