x,y,SF
290355,4.64182e+06,7
286375,4.64171e+06,12
290417,4.6418e+06,7
290409,4.6418e+06,7
293956,4.64652e+06,12
290470,4.64071e+06,7
289914,4.64129e+06,7
289233,4.64252e+06,10
289249,4.64252e+06,10
289199,4.64252e+06,10
289201,4.64254e+06,10
289167,4.64253e+06,10
291250,4.64127e+06,9
290327,4.64136e+06,7
290265,4.64337e+06,12
287906,4.6345e+06,12
290559,4.64302e+06,12
286838,4.64127e+06,12
289272,4.64429e+06,12
291069,4.64406e+06,12
290097,4.64239e+06,9
290485,4.64144e+06,7
291072,4.64404e+06,12
289386,4.64536e+06,12
290312,4.64707e+06,12
289975,4.63769e+06,12
293499,4.64502e+06,12
290764,4.64203e+06,9
290707,4.64217e+06,9
293471,4.64266e+06,12
291497,4.6365e+06,12
293491,4.64275e+06,12
290929,4.64211e+06,10
294966,4.64588e+06,12
292883,4.64282e+06,12
294251,4.65071e+06,12
294264,4.65074e+06,12
290345,4.63776e+06,12
292086,4.64226e+06,12
290962,4.64202e+06,9
290316,4.64356e+06,12
289806,4.64268e+06,11
289210,4.64208e+06,9
291126,4.64117e+06,9
290429,4.64152e+06,7
293106,4.64025e+06,12
291362,4.63637e+06,12
289700,4.64343e+06,12
292643,4.64176e+06,12
290876,4.64226e+06,11
291148,4.6422e+06,11
292268,4.64208e+06,12
291011,4.64094e+06,8
292542,4.64195e+06,12
290470,4.6451e+06,12
289879,4.63914e+06,9
273674,4.63063e+06,12
291318,4.64011e+06,10
294382,4.64308e+06,12
290148,4.64019e+06,7
290712,4.64119e+06,7
291172,4.64198e+06,10
291207,4.6423e+06,11
285873,4.64123e+06,12
295136,4.64271e+06,7
291736,4.64153e+06,11
292632,4.642e+06,12
287801,4.6375e+06,12
291215,4.6435e+06,12
291033,4.64401e+06,12
290080,4.64243e+06,10
291214,4.64228e+06,10
291085,4.64407e+06,12
291447,4.6438e+06,12
291291,4.64239e+06,12
290789,4.64119e+06,8
290590,4.64306e+06,12
292352,4.64197e+06,12
291851,4.63681e+06,12
290261,4.64698e+06,12
291658,4.64413e+06,12
292733,4.64185e+06,12
290705,4.6413e+06,7
286251,4.64013e+06,12
289157,4.64253e+06,10
292037,4.64308e+06,12
295455,4.64459e+06,12
291129,4.64136e+06,8
291053,4.64334e+06,12
292380,4.64217e+06,12
293835,4.64552e+06,12
292323,4.63959e+06,12
291426,4.64503e+06,12
289941,4.6344e+06,12
289947,4.6344e+06,12
288853,4.63781e+06,12
272547,4.62997e+06,12
289944,4.6344e+06,12
289942,4.63439e+06,12
291256,4.63963e+06,12
290691,4.64132e+06,7
285516,4.6426e+06,12
291174,4.64134e+06,8
291924,4.64169e+06,12
291264,4.64121e+06,9
273703,4.63065e+06,12
272725,4.62987e+06,12
290102,4.63459e+06,12
291982,4.64369e+06,12
273542,4.63021e+06,12
291845,4.64255e+06,12
290422,4.64182e+06,7
291028,4.64195e+06,10
291848,4.64255e+06,12
291239,4.6446e+06,12
291887,4.64257e+06,12
291920,4.64258e+06,12
291915,4.64257e+06,12
291042,4.64401e+06,12
292191,4.64346e+06,12
291998,4.64372e+06,12
290744,4.64289e+06,12
288775,4.64258e+06,12
291530,4.64144e+06,12
291213,4.64131e+06,8
291056,4.64111e+06,8
292386,4.64309e+06,12
291915,4.64258e+06,12
291862,4.64255e+06,12
291828,4.64255e+06,12
291857,4.64256e+06,12
291829,4.64196e+06,12
291841,4.64253e+06,12
290131,4.6411e+06,7
290021,4.64087e+06,7
289971,4.64159e+06,7
291000,4.64113e+06,8
293310,4.64482e+06,12
291684,4.64212e+06,12
292717,4.64171e+06,12
290292,4.6413e+06,7
279646,4.62784e+06,12
294706,4.64464e+06,12
280212,4.63263e+06,12
292586,4.64197e+06,12
292661,4.64397e+06,12
290693,4.64131e+06,7
289736,4.64185e+06,7
291925,4.64238e+06,12
294433,4.64269e+06,10
291488,4.64224e+06,12
290573,4.64257e+06,12
291644,4.64392e+06,12
290332,4.64189e+06,8
292330,4.64364e+06,12
290819,4.64227e+06,11
289339,4.63431e+06,12
291726,4.64279e+06,12
291985,4.64371e+06,12
291716,4.64277e+06,12
292496,4.64394e+06,12
292469,4.64139e+06,12
292277,4.64215e+06,12
291986,4.64371e+06,12
294932,4.6437e+06,12
291540,4.64134e+06,10
290052,4.64239e+06,9
291996,4.64372e+06,12
290091,4.64241e+06,9
292683,4.6437e+06,12
290607,4.64109e+06,7
291871,4.64257e+06,12
291909,4.6428e+06,12
291891,4.64256e+06,12
291722,4.64215e+06,12
290886,4.6413e+06,8
289312,4.64515e+06,12
287786,4.64335e+06,12
292633,4.642e+06,12
294113,4.64118e+06,12
294365,4.64068e+06,10
292341,4.63939e+06,12
292103,4.64364e+06,12
296074,4.64063e+06,8
291065,4.64334e+06,12
291990,4.64371e+06,12
291039,4.64365e+06,12
294154,4.64121e+06,11
295395,4.64052e+06,10
291178,4.64358e+06,12
273766,4.6303e+06,12
291042,4.64401e+06,12
290653,4.64201e+06,9
292922,4.64576e+06,12
292593,4.6439e+06,12
291020,4.64228e+06,10
292125,4.64418e+06,12
290450,4.64289e+06,12
293438,4.64608e+06,12
291576,4.64293e+06,12
294199,4.64684e+06,12
294524,4.64792e+06,12
294157,4.65087e+06,12
292160,4.64416e+06,12
273707,4.63063e+06,12
294482,4.64369e+06,12
294289,4.64391e+06,12
291421,4.64204e+06,11
291019,4.64183e+06,9
294907,4.6442e+06,12
293202,4.64264e+06,12
289812,4.64676e+06,12
292729,4.64184e+06,12
291087,4.64403e+06,12
291022,4.64401e+06,12
290770,4.64537e+06,12
273689,4.63064e+06,12
292122,4.65129e+06,12
289938,4.63438e+06,12
272560,4.62996e+06,12
290210,4.63785e+06,12
289028,4.63678e+06,12
289946,4.63439e+06,12
285688,4.6362e+06,12
292062,4.63805e+06,12
291183,4.64237e+06,11
289331,4.63432e+06,12
283005,4.63382e+06,12
289647,4.63432e+06,12
289839,4.63409e+06,12
296666,4.64563e+06,12
291085,4.64248e+06,11
271638,4.6307e+06,12
292751,4.64083e+06,12
293215,4.6416e+06,12
293385,4.64003e+06,12
293249,4.64021e+06,12
291198,4.64471e+06,12
292727,4.64169e+06,12
293095,4.64031e+06,12
293353,4.63997e+06,12
291041,4.6405e+06,8
290275,4.6413e+06,7
291242,4.64129e+06,10
291254,4.64128e+06,9
291255,4.64128e+06,9
291236,4.6413e+06,10
291248,4.64127e+06,9
291235,4.64131e+06,10
291016,4.64183e+06,9
290930,4.64121e+06,7
290473,4.63634e+06,12
288544,4.64162e+06,10
292193,4.64189e+06,12
289679,4.64216e+06,8
295158,4.63775e+06,12
292838,4.64268e+06,12
298257,4.64215e+06,12
289946,4.63441e+06,12
294396,4.6431e+06,12
289940,4.63439e+06,12
299744,4.63006e+06,12
