x,y,SF
296151,4.64444e+06,12
289223,4.64244e+06,10
292520,4.64292e+06,12
286707,4.64512e+06,12
288340,4.63873e+06,12
290169,4.64327e+06,12
293828,4.64242e+06,11
290268,4.64204e+06,9
289948,4.63441e+06,12
292825,4.6422e+06,12
286838,4.63113e+06,12
288531,4.64412e+06,12
292410,4.63733e+06,12
297525,4.64092e+06,10
292275,4.64208e+06,12
296175,4.64257e+06,8
292557,4.64292e+06,12
291583,4.64139e+06,11
299873,4.64493e+06,12
291052,4.64401e+06,12
288343,4.63873e+06,12
293588,4.64343e+06,12
292522,4.64291e+06,12
293311,4.64429e+06,12
292188,4.64223e+06,12
292135,4.64185e+06,12
292526,4.64282e+06,12
291164,4.64139e+06,10
293912,4.64071e+06,12
289522,4.64397e+06,12
292526,4.64291e+06,12
291039,4.64405e+06,12
292660,4.6437e+06,12
286069,4.64228e+06,12
290319,4.64644e+06,12
291289,4.64496e+06,12
292670,4.64374e+06,12
292419,4.64404e+06,12
291002,4.63907e+06,12
292105,4.64318e+06,12
288383,4.64288e+06,12
289319,4.63976e+06,9
291108,4.64152e+06,8
291072,4.64402e+06,12
291039,4.644e+06,12
289426,4.64619e+06,12
290331,4.64186e+06,8
290809,4.6413e+06,7
290386,4.6418e+06,7
290356,4.6418e+06,7
289967,4.64272e+06,11
291346,4.64216e+06,12
291727,4.64215e+06,12
289966,4.63514e+06,12
292536,4.64292e+06,12
290528,4.64219e+06,10
291219,4.64229e+06,11
289176,4.64252e+06,10
291702,4.64213e+06,12
291026,4.644e+06,12
291841,4.64246e+06,12
291289,4.64355e+06,12
292522,4.64137e+06,12
271461,4.63034e+06,12
289003,4.6447e+06,12
290777,4.64466e+06,12
291068,4.64403e+06,12
290242,4.64666e+06,12
291056,4.64405e+06,12
291507,4.64207e+06,12
294937,4.64289e+06,9
289215,4.64252e+06,10
291641,4.64283e+06,12
289140,4.64348e+06,12
272282,4.62968e+06,12
291992,4.64372e+06,12
291989,4.64372e+06,12
291043,4.64404e+06,12
287769,4.63743e+06,12
288936,4.63356e+06,12
290264,4.63982e+06,8
291968,4.64259e+06,12
285816,4.64107e+06,12
279537,4.63256e+06,12
290096,4.6424e+06,8
290239,4.64024e+06,7
290564,4.64086e+06,7
290252,4.64022e+06,7
298739,4.63805e+06,12
293282,4.64754e+06,12
290601,4.64158e+06,7
291326,4.64216e+06,12
292802,4.64215e+06,12
290635,4.64388e+06,12
292753,4.64125e+06,12
291229,4.64415e+06,12
288840,4.6435e+06,12
295143,4.64272e+06,7
281132,4.62938e+06,12
289253,4.64251e+06,11
289327,4.63975e+06,9
289906,4.64678e+06,12
289715,4.63906e+06,12
291292,4.64109e+06,9
291222,4.6413e+06,10
290491,4.64085e+06,7
288336,4.64129e+06,9
293243,4.64022e+06,12
293554,4.64341e+06,12
290364,4.64041e+06,7
289335,4.64245e+06,10
291049,4.64405e+06,12
291235,4.64125e+06,9
291732,4.64215e+06,12
291835,4.64497e+06,12
291687,4.64212e+06,12
292438,4.64153e+06,12
292140,4.64326e+06,12
273577,4.63019e+06,12
292190,4.64358e+06,12
291015,4.64197e+06,12
291723,4.64216e+06,12
291131,4.64247e+06,12
290348,4.6434e+06,12
292123,4.64222e+06,12
290822,4.64227e+06,11
291728,4.64215e+06,12
290885,4.63871e+06,12
292506,4.64288e+06,12
292192,4.64347e+06,12
291677,4.64211e+06,12
291659,4.64212e+06,12
290551,4.64223e+06,10
292183,4.64334e+06,12
291140,4.64196e+06,9
290501,4.6434e+06,12
290242,4.64384e+06,12
290966,4.64199e+06,10
292052,4.64229e+06,12
291766,4.64283e+06,12
290780,4.64217e+06,10
290890,4.64119e+06,7
292528,4.64282e+06,12
273802,4.63034e+06,12
294825,4.64483e+06,12
291384,4.6414e+06,10
289007,4.6476e+06,12
293287,4.64098e+06,12
290688,4.6413e+06,7
292591,4.64147e+06,12
299768,4.63006e+06,12
291977,4.64371e+06,12
282378,4.63914e+06,12
289317,4.63978e+06,9
291628,4.64212e+06,12
290739,4.6429e+06,12
289484,4.64488e+06,12
291429,4.64411e+06,12
292682,4.64181e+06,12
293372,4.64005e+06,12
291104,4.6361e+06,12
291701,4.64212e+06,12
289317,4.63432e+06,12
291315,4.6401e+06,10
289313,4.63977e+06,9
289829,4.63863e+06,12
289981,4.6416e+06,7
289649,4.6435e+06,12
290581,4.63356e+06,12
282221,4.63736e+06,12
289016,4.63859e+06,12
290702,4.6413e+06,7
290676,4.6413e+06,7
292309,4.64205e+06,12
291050,4.64366e+06,12
290074,4.64239e+06,8
291058,4.64406e+06,12
290860,4.64229e+06,10
290079,4.64331e+06,12
283169,4.63697e+06,12
272229,4.62964e+06,12
291977,4.6426e+06,12
290766,4.63788e+06,12
290374,4.64182e+06,7
291250,4.64126e+06,9
291193,4.64258e+06,12
290319,4.64087e+06,7
291030,4.64196e+06,12
289660,4.64361e+06,12
289390,4.64206e+06,9
288930,4.64276e+06,11
290997,4.63905e+06,12
291464,4.64205e+06,12
288289,4.63721e+06,12
292419,4.64189e+06,12
290802,4.63811e+06,12
291100,4.64105e+06,8
289675,4.64352e+06,12
289324,4.63431e+06,12
271813,4.63066e+06,12
286614,4.6448e+06,12
271638,4.63061e+06,12
288601,4.63848e+06,12
291206,4.64125e+06,9
291780,4.64145e+06,12
290681,4.6413e+06,7
292494,4.6419e+06,12
291563,4.64139e+06,11
290142,4.63535e+06,12
292627,4.64178e+06,12
273684,4.63067e+06,12
292622,4.64115e+06,12
292823,4.64276e+06,12
292671,4.64187e+06,12
292483,4.64285e+06,12
290698,4.64131e+06,7
287149,4.64114e+06,12
291177,4.64128e+06,9
290251,4.64657e+06,12
292029,4.64403e+06,12
290970,4.6408e+06,8
290716,4.64129e+06,7
290680,4.6413e+06,7
290380,4.64596e+06,12
292008,4.64368e+06,12
291990,4.64371e+06,12
291710,4.6428e+06,12
292351,4.64201e+06,12
291012,4.64403e+06,12
293946,4.64229e+06,10
291054,4.64402e+06,12
291469,4.64246e+06,12
291871,4.64419e+06,12
291791,4.64259e+06,12
290074,4.63315e+06,12
